question,optionA,optionB,optionC,optionD,answer,category
වරාය නගරය (Port City) ඉදිකර ඇත්තේ?,ගාල්ල වරාය,හම්බන්තොට වරාය,කොළඹ වරාය,ත්‍රිකුණාමලය වරාය,C,සාමාන්‍ය දැනුම
ප්‍රධාන ජාත්‍යන්තර ගුවන් තොටුපලවල් ගණන?,3,4,5,6,C,සාමාන්‍ය දැනුම
මත්තල ගුවන් තොටුපල පිහිටා ඇත්තේ කොහේද?,මාතර,හම්බන්තොට,මොනරාගල,රත්නපුර,B,සාමාන්ී දැනුම
'මඩොල් දූව' කෘතියේ ප්‍රධාන චරිත දෙක කවුද?,උපාලි සහ ජින්නා,සිරිමල් සහ පියල්,ජිනදාස සහ අනුලා,සෝමා සහ රවී,A,සාමාන්‍ය දැනුම
'ගම්පෙරළිය' ලියූ කතුවරයා කවුද?,ටී.බී. ඉලංගරත්න,මාර්ටින් වික්‍රමසිංහ,මුණිදාස කුමාරතුංග,විමලරත්න කුමාරගම,B,සාමාන්‍ය දැනුම
අධ්‍යාපන අමාත්‍යාංශය (ඉසුරුපාය) පිහිටා ඇත්තේ?,කොළඹ,කඩුවෙල,බත්තරමුල්ල,නුගේගොඩ,C,සාමාන්‍ය දැනුම
ලංකාවේ උස්ම ප්‍රදීපාගාරය පිහිටා ඇත්තේ?,කොළඹ,ගාල්ල,දෙවුන්දර,මන්නාරම,C,සාමාන්‍ය දැනුම
ගාලු කොටුව ලෝක උරුමයක් ලෙස නම් කළේ?,UNICEF,UNESCO,WHO,FAO,B,සාමාන්‍ය දැනුම
සිංහරාජ වනාන්තරය අයත් ප්‍රධාන දිස්ත්‍රික්ක?,කොළඹ සහ ගම්පහ,රත්නපුර සහ ගාල්ල,කෑගල්ල සහ නුවරඑළිය,බදුල්ල සහ මොනරාගල,B,සාමාන්‍ය දැනුම
මහවැලි ගඟ ආරම්භ වන්නේ කුමන කන්දෙන්ද?,පිදුරුතලාගල,සිරිපා අඩවිය,නමුණුකුල,හන්තාන,B,සාමාන්‍ය දැනුම
කැළණි ගඟ මුහුදට වැටෙන්නේ කොහෙන්ද?,මන්නාරම,මෝදර,හලාවත,මාතර,B,සාමාන්‍ය දැනුම
බ්‍රිතාන්‍ය පාලන සමයේ පළමු ආණ්ඩුකාරවරයා?,රොබට් බ්‍රවුන්රිග්,ෆ්‍රෙඩ්රික් නෝර්ත්,තෝමස් මේට්ලන්ඩ්,විලියම් ගොපල්ලව,B,සාමාන්‍ය දැනුම
පළමු පාර්ලිමේන්තු කතානායකවරයා කවුද?,එන්.එම්. පෙරේරා,ෆ්‍රැන්සිස් මොලමුරේ,ජේ.ආර්. ජයවර්ධන,මෛත්‍රීපාල සිරිසේන,B,සාමාන්‍ය දැනුම
1818 කැරැල්ලට නායකත්වය දුන් ප්‍රධානියා?,පුරන් අප්පු,ගොන්ගාලේගොඩ බණ්ඩා,කැප්පෙටිපොළ නිලමේ,මඩුගල්ලේ නිලමේ,C,සාමාන්‍ය දැනුම
'වෙරහියර් දුටු ලංකාව' කෘතියේ මුල් කතුවරයා?,රොබට් නොක්ස්,ආර්.එල්. වෙරහියර්,ලෙනාඩ් වුල්ෆ්,ජෝන් ඩොයිලි,B,සාමාන්‍ය දැනුම
ලංකාවේ ප්‍රථම සිංහල පුවත්පත කුමක්ද?,සිංහල බෞද්ධයා,ලංකාලෝකය,ඥානාර්ථ ප්‍රදීපය,දිනමිණ,B,සාමාන්‍ය දැනුම
සිංහල අලුත් අවුරුද්ද යෙදෙන්නේ කුමන මාසයේද?,ජනවාරි,මාර්තු,අප්‍රේල්,මැයි,C,සාමාන්‍ය දැනුම
ඊසාන දිග මෝසම් සුළං හමන කාලය?,මැයි - සැප්තැම්බර්,දෙසැම්බර් - පෙබරවාරි,මාර්තු - අප්‍රේල්,ඔක්තෝබර් - නොවැම්බර්,B,සාමාන්‍ය දැනුම
නිරිත දිග මෝසම් සුළං හමන කාලය?,මැයි - සැප්තැම්බර්,දෙසැම්බර් - පෙබරවාරි,ජනවාරි - මාර්තු,ජූනි - අගෝස්තු,A,සාමාන්‍ය දැනුම
ලංකාවේ ප්‍රධාන අපනයන බෝග 3?,තේ රබර් පොල්,වී තේ කෝපි,කුරුඳු ගම්මිරිස් තේ,පොල් රබර් කුරුඳු,A,සාමාන්‍ය දැනුම
ලංකාවේ වැඩිම ජනගහනයක් සිටින දිස්ත්‍රික්කය?,ගම්පහ,කුරුණෑගල,කොළඹ,මහනුවර,C,සාමාන්‍ය දැනුම
ලංකාවේ අඩුම ජනගහනයක් සිටින දිස්ත්‍රික්කය?,මන්නාරම,වවුනියාව,මුලතිව්,මොනරාගල,C,සාමාන්‍ය දැනුම
සබරගමුව පළාතේ අගනුවර කුමක්ද?,කෑගල්ල,රත්නපුර,බලංගොඩ,ඇඹිලිපිටිය,B,සාමාන්‍ය දැනුම
ඌව පළාතේ අගනුවර කුමක්ද?,බණ්ඩාරවෙල,මොනරාගල,බදුල්ල,වැලිමඩ,C,සාමාන්‍ය දැනුම
නැගෙනහිර පළාතේ අගනුවර කුමක්ද?,මඩකලපුව,අම්පාර,ත්‍රිකුණාමලය,මූතූර්,C,සාමාන්‍ය දැනුම
'මඟුල් මහා විහාරය' පිහිටා ඇත්තේ?,මහනුවර,අනුරාධපුරය,අම්පාර,හම්බන්තොට,C,සාමාන්‍ය දැනුම
යාපහුව රාජධානියේ පාලකයා වූයේ?,පළමුවන පරාක්‍රමබාහු,පළමුවන බුවනෙකබාහු,නිශ්ශංක මල්ල,විජයබාහු,B,සාමාන්‍ය දැනුම
වත්මන් ජාතික ගීය නිල වශයෙන් පිළිගත් වර්ෂය?,1948,1950,1951,1956,C,සාමාන්‍ය දැනුම
ලංකාවේ විශාලතම ස්වභාවික වරාය කුමක්ද?,කොළඹ,ගාල්ල,ත්‍රිකුණාමලය,හම්බන්තොට,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව ජනරජයක් වූයේ කුමන වර්ෂයේද?,1948,1956,1972,1978,C,සාමාන්‍ය දැනුම
ලංකාවේ පළමු සිංහල චිත්‍රපටය කුමක්ද?,රේඛාව,කඩවුණු පොරොන්දුව,සංදේශය,කුරුළු බැද්ද,B,සාමාන්‍ය දැනුම
'මනමේ' නාට්‍යයේ නිර්මාණකරු කවුද?,හෙන්රි ජයසේන,එදිරිවීර සරච්චන්ද්‍ර,දයානන්ද ගුණවර්ධන,සුගතපාල ද සිල්වා,B,සාමාන්‍ය දැනුම
පේරාදෙණිය විශ්වවිද්‍යාලය පිහිටි දිස්ත්‍රික්කය?,කොළඹ,මාතලේ,මහනුවර,කෑගල්ල,C,සාමාන්‍ය දැනුම
විජයබාහු රජු පොළොන්නරුව රාජධානිය පිහිටුවූ වර්ෂය?,1017,1055,1070,1153,B,සාමාන්ී දැනුම
නිදහසින් පසු පළමු අගවිනිසුරු (ලාංකික)?,ඇලන් රෝස්,හෙක්ටර් ජයවර්ධන,පරාක්‍රම සිල්වා,සරත් එන් සිල්වා,A,සාමාන්‍ය දැනුම
ලංකාවේ මුළු භූමි ප්‍රමාණය (වර්ග කි.මී.)?,65525,65610,65000,66000,B,සාමාන්‍ය දැනුම
ආණ්ඩුක්‍රම ව්‍යවස්ථාවේ 13 වන සංශෝධනය කුමක්ද?,විධායක ජනාධිපති ක්‍රමය,පළාත් සභා ක්‍රමය,සමානුපාතික ඡන්ද ක්‍රමය,ද්විත්ව පුරවැසිභාවය,B,සාමාන්ී දැනුම
ශ්‍රී ලංකාවේ දිගම දුම්රිය මාර්ගය?,උතුරු මාර්ගය,මුහුදුබඩ මාර්ගය,මහනුවර මාර්ගය,කැලණිවැලි මාර්ගය,A,සාමාන්‍ය දැනුම
'කල්පිටිය' පිහිටා ඇත්තේ කුමන දිස්ත්‍රික්කයේද?,මන්නාරම,පුත්තලම,හලාවත,යාපනය,B,සාමාන්ී දැනුම
හුම්මානය (Blow hole) පිහිටා ඇත්තේ කොහේද?,ගාල්ල,ත්‍රිකුණාමලය,කුඩා වැල්ල,මන්නාරම,C,සාමාන්‍ය දැනුම
විශාලතම බුද්ධ ප්‍රතිමාව (හිටි පිළිමය) කුමක්ද?,අවුකන,මාලිගාවිල,රම්බඩගල්ල,සමාධි,C,සාමාන්‍ය දැනුම
ආතර් සී. ක්ලාක් මහතා ජීවත් වූ නගරය?,මහනුවර,කොළඹ,ගාල්ල,හික්කඩුව,B,සාමාන්‍ය දැනුම
ලංකාවේ ප්‍රථම රූපවාහිනී නාලිකාව කුමක්ද?,රූපවාහිනී සංස්ථාව,ITN,සිරස,ස්වර්ණවාහිනී,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවට බුදු දහම රැගෙන ආවේ කවුද?,සංගමිත්තා තෙරණිය,මිහිඳු මහරහතන් වහන්සේ,බුදුන් වහන්සේ,ධර්මාශෝක රජු,B,සාමාන්‍ය දැනුම
මිහින්තලය අයත් වන්නේ කුමන දිස්ත්‍රික්කයටද?,පොළොන්නරුව,කුරුණෑගල,අනුරාධපුරය,මාතලේ,C,සාමාන්‍ය දැනුම
