question,optionA,optionB,optionC,optionD,answer,category
'විශ්ව දායකයා' ලෙස හඳුන්වන්නේ කුමන රුධිර කාණ්ඩයද?,AB Rh+,A Rh+,B Rh+,O Rh-,D,සාමාන්‍ය දැනුම
'විශ්ව ප්‍රතිග්‍රාහකයා' ලෙස හඳුන්වන්නේ කුමන රුධිර කාණ්ඩයද?,AB Rh+,O Rh-,A Rh+,B Rh+,A,සාමාන්‍ය දැනුම
සාමාන්‍ය නිරෝගී වැඩිහිටියෙකුගේ රුධිර පීඩනය (Blood Pressure) අගය සාමාන්‍යයෙන් කොපමණද?,100/70 mmHg,140/90 mmHg,120/80 mmHg,110/60 mmHg,C,සාමාන්‍ය දැනුම
මිනිස් මොළයේ බර සාමාන්‍යයෙන් කොපමණද?,1000-1100g,1300-1400g,1500-1600g,800-900g,B,සාමාන්‍ය දැනුම
මතකය, බුද්ධිය සහ සිතීම පාලනය කරන මොළයේ කොටස කුමක්ද?,අනුමස්තිෂ්කය,මොළයේ කඳ,ප්‍රාමස්තිෂ්කය (Cerebrum),තැලමස,C,සාමාන්‍ය දැනුම
ශරීරයේ සමබරතාවය (Balance) පවත්වා ගන්නේ මොළයේ කුමන කොටස මගින්ද?,අනුමස්තිෂ්කය (Cerebellum),ප්‍රාමස්තිෂ්කය,මොළයේ කඳ,තැලමස,A,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ ඇති කොඳු ඇට පෙළේ අස්ථි (කශේරුකා) ගණන කීයද?,26,20,33,30,C,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ පර්ශු (Ribs) යුගල ගණන කීයද?,10,12,14,16,B,සාමාන්‍ය දැනුම
ආහාර දිරවීමේ ක්‍රියාවලිය ආරම්භ වන්නේ කොතැනින්ද?,ආමාශයෙන්,කුඩා අන්ත්‍රයෙන්,ග්‍රසනිකාවෙන්,මුඛයෙන්,D,සාමාන්‍ය දැනුම
ඛේඨයේ (Saliva) අඩංගු එන්සයිමය කුමක්ද?,පෙප්සින්,ඇමයිලේස්,ලයිපේස්,ට්‍රිප්සින්,B,සාමාන්‍ය දැනුම
පිත්ත යුෂ (Bile) නිපදවන්නේ කුමන ඉන්ද්‍රියෙන්ද?,පිත්තාශය,අග්න්‍යාශය,ආමාශය,අක්මාව,D,සාමාන්‍ය දැනුම
පිත්ත යුෂ ගබඩා කර තබා ගන්නේ කොහේද?,අක්මාවේ,අග්න්‍යාශයේ,පිත්තාශයේ,කුඩා අන්ත්‍රයේ,C,සාමාන්‍ය දැනුම
ඉන්සියුලින් (Insulin) හෝමෝනය නිපදවන්නේ කුමන ඉන්ද්‍රියෙන්ද?,අක්මාව,වකුගඩු,අග්න්‍යාශය,තයිරොයිඩ් ග්‍රන්ථිය,C,සාමාන්‍ය දැනුම
දියවැඩියාව රෝගය වැළඳෙන්නේ රුධිරයේ කුමක් වැඩි වීමෙන්ද?,ප්‍රෝටීන්,විටමින්,මේදය,ග්ලූකෝස්,D,සාමාන්‍ය දැනුම
රුධිරය පිරිසිදු කිරීමේ (පෙරීමේ) කාර්යය කරන ප්‍රධාන ඉන්ද්‍රිය කුමක්ද?,අක්මාව,පෙනහලු,වකුගඩු,හදවත,C,සාමාන්‍ය දැනුම
වකුගඩු වල ක්‍රියාකාරී ඒකකය කුමක්ද?,නියුරෝනය,ඇල්වියෝලයි,සෛලය,නෙෆ්‍රෝනය,D,සාමාන්‍ය දැනුම
වැඩිහිටි මිනිසෙකුගේ මුඛයේ දත් කීයක් තිබේද?,28,30,32,34,C,සාමාන්‍ය දැනුම
මිනිස් දත් අතරින් ශක්තිමත්ම කොටස කුමක්ද?,ඩෙන්ටින්,සිමෙන්ටම්,දත් මදය,එනමලය,D,සාමාන්‍ය දැනුම
ඇස් පෙනීම සඳහා අත්‍යවශ්‍ය විටමින් වර්ගය කුමක්ද?,විටමින් B,විටමින් C,විටමින් D,විටමින් A,D,සාමාන්‍ය දැනුම
'රාත්‍රී අන්ධතාවය' ඇතිවන්නේ කුමන විටමින් ඌනතාවයෙන්ද?,විටමින් B,විටමින් C,විටමින් D,විටමින් A,D,සාමාන්‍ය දැනුම
සූර්යාලෝකය මගින් සිරුර මත නිපදවෙන විටමින් වර්ගය කුමක්ද?,විටමින් A,විටමින් C,විටමින් D,විටමින් E,C,සාමාන්‍ය දැනුම
රිකට්ස් රෝගය (අස්ථි දුර්වල වීම) වැළඳෙන්නේ කුමන විටමින් ඌනතාවයෙන්ද?,විටමින් A,විටමින් C,විටමින් D,විටමින් B,C,සාමාන්‍ය දැනුම
ප්‍රතිශක්තිය වර්ධනය කිරීමට සහ විදුරුමස් නිරෝගීව තබා ගැනීමට උදව් වන විටමින් වර්ගය කුමක්ද?,විටමින් A,විටමින් C,විටමින් D,විටමින් K,B,සාමාන්‍ය දැනුම
ස්කර්වි රෝගය වැළඳෙන්නේ කුමන විටමින් ඌනතාවයෙන්ද?,විටමින් A,විටමින් D,විටමින් B,විටමින් C,D,සාමාන්‍ය දැනුම
'ගොයිටර්' හෙවත් ගලගණ්ඩ රෝගය වැළඳෙන්නේ කුමන ඛනිජ ලවණ ඌනතාවයෙන්ද?,යකඩ,කැල්සියම්,මැග්නීසියම්,අයඩින්,D,සාමාන්‍ය දැනුම
රක්තහීනතාවය හෙවත් ලේ අඩුකම ඇතිවන්නේ කුමන ඛනිජ ලවණ ඌනතාවයෙන්ද?,අයඩින්,කැල්සියම්,යකඩ,පොටෑසියම්,C,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ වර්ධනය පාලනය කරන ප්‍රධාන ග්‍රන්ථිය (Master Gland) කුමක්ද?,තයිරොයිඩ් ග්‍රන්ථිය,අධිවෘක්ක ග්‍රන්ථිය,අග්න්‍යාශය,පිටියුටරි ග්‍රන්ථිය,D,සාමාන්‍ය දැනුම
හදිසි අවස්ථාවකදී ක්‍රියාත්මක වන 'ඇඩ්‍රිනලින්' හෝමෝනය නිපදවන්නේ කුමන ග්‍රන්ථියෙන්ද?,පිටියුටරි ග්‍රන්ථිය,තයිරොයිඩ් ග්‍රන්ථිය,අධිවෘක්ක ග්‍රන්ථිය,අග්න්‍යාශය,C,සාමාන්‍ය දැනුම
පිරිමි අයගේ ද්විතීයික ලිංගික ලක්ෂණ පහළ කරවන හෝමෝනය කුමක්ද?,ඊස්ට්‍රජන්,ප්‍රොජෙස්ටෙරෝන්,ඉන්සියුලින්,ටෙස්ටොස්ටෙරෝන්,D,සාමාන්‍ය දැනුම
කාන්තාවන්ගේ ප්‍රධාන ලිංගික හෝමෝන දෙක මොනවාද?,ටෙස්ටොස්ටෙරෝන් හා ඊස්ට්‍රජන්,ප්‍රොජෙස්ටෙරෝන් හා ටෙස්ටොස්ටෙරෝන්,ඊස්ට්‍රජන් හා ප්‍රොජෙස්ටෙරෝන්,ඇඩ්‍රිනලින් හා තයිරොක්සින්,C,සාමාන්‍ය දැනුම
මිනිස් සෛලයක ඇති වර්ණදේහ (Chromosomes) ගණන කීයද?,23,44,48,46,D,සාමාන්‍ය දැනුම
මිනිස් සෛලයක ඇති වර්ණදේහ යුගල (Pairs) ගණන කීයද?,46,22,24,23,D,සාමාන්‍ය දැනුම
පිරිමි ළමයකු උපත ලැබීමට නම් පිහිටිය යුතු වර්ණදේහ යුගලය කුමක්ද?,XX,YY,X0,XY,D,සාමාන්‍ය දැනුම
ගැහැණු ළමයකු උපත ලැබීමට නම් පිහිටිය යුතු වර්ණදේහ යුගලය කුමක්ද?,XY,YY,X0,XX,D,සාමාන්‍ය දැනුම
සෛලයේ බලගාරය (Powerhouse of the cell) ලෙස හඳුන්වන්නේ කුමක්ද?,න්‍යෂ්ටිය,රයිබොසෝමය,ගොල්ගි දේහය,මයිටොකොන්ඩ්‍රියාව,D,සාමාන්‍ය දැනුම
ප්‍රභාසංශ්ලේෂණය සඳහා ශාක පත්‍ර වල අඩංගු විය යුතු වර්ණකය කුමක්ද?,කැරොටින්,ඇන්තොසයනින්,මෙලනින්,ක්ලෝරොෆිල්,D,සාමාන්‍ය දැනුම
ශාක වල ජලය පරිවහනය කරන පටකය කුමක්ද?,ෆ්ලෝයමය,පැරෙන්කයිමාව,කැම්බියම,සයිලමය (Xylem),D,සාමාන්‍ය දැනුම
ශාක වල ආහාර පරිවහනය කරන පටකය කුමක්ද?,සයිලමය,පැරෙන්කයිමාව,කැම්බියම,ෆ්ලෝයමය (Phloem),D,සාමාන්‍ය දැනුම
ශාක පත්‍ර මගින් ජලය වාෂ්ප ලෙස පිට කිරීම හඳුන්වන්නේ කෙසේද?,ප්‍රභාසංශ්ලේෂණය,ශ්වසනය,අභිශ්‍රවණය,බාෂ්පීකරණය (Transpiration),D,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම පුෂ්පය (මල) කුමක්ද?,රෝස,සූරියකාන්ත,නෙළුම්,රැෆ්ලේසියා (Rafflesia),D,සාමාන්‍ය දැනුම
පෙනිසිලින් (Penicillin) ප්‍රතිජීවකය සොයාගත්තේ කවුද?,ලුවී පාස්චර්,එඩ්වඩ් ජෙනර්,ජෝසප් ලිස්ටර්,ඇලෙක්සැන්ඩර් ෆ්ලෙමින්,D,සාමාන්‍ය දැනුම
ජලභීතිකා රෝගය (Rabies) සඳහා එන්නත සොයාගත්තේ කවුද?,ඇලෙක්සැන්ඩර් ෆ්ලෙමින්,එඩ්වඩ් ජෙනර්,ජෝසප් ලිස්ටර්,ලුවී පාස්චර්,D,සාමාන්‍ය දැනුම
