question,optionA,optionB,optionC,optionD,answer,category
"කිසියම් මාසයක 1 වැනිදා බදාදා නම්, එම මාසයේ 31 වැනිදා දිනය කුමක්ද?",සඳුදා,අඟහරුවාදා,බදාදා,බ්‍රහස්පතින්දා,A,බුද්ධි ඵලය
"පැය කටුව සහ මිනිත්තු කටුව අතර කෝණය උදෑසන 3:15ට කීයද?",0,7.5,15,30,B,බුද්ධි ඵලය
"සංඛ්‍යා 4ක මධ්‍යන්‍යය 20කි. එකක් 10 නම් අනෙක් 3ක මධ්‍යන්‍යය කීයද?",20,23.3,25,30,B,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ ඊළඟ අකුර: B, D, G, K, ?",M,N,O,P,D,බුද්ධි ඵලය
"වසර 10කට පසු පියාගේ වයස පුතා මෙන් 2 ගුණයක් වේ. වසර 10කට පෙර 6 ගුණයක් විය. වර්තමාන වයස් කීයද?",40 සහ 10,50 සහ 15,60 සහ 20,70 සහ 25,B,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ අතුරුදහන් අකුර: C, E, H, L, ?",P,Q,R,S,A,බුද්ධි ඵලය
"වැඩකරුවන් 10 දෙනෙකුට වැඩක් නිම කිරීමට දින 12ක් ගතවේ නම්, 15 දෙනෙකුට ගතවන දින කීයද?",6,8,10,9,B,බුද්ධි ඵලය
"වර්ගයක පැත්තක් 20%කින් වැඩි කළහොත් වර්ගඵලය කීයෙන් වැඩිවේද?",20%,40%,44%,50%,C,බුද්ධි ඵලය
"එක් බඳුනක රතු පන්දු 3ක්, නිල් පන්දු 4ක් ඇත. අහඹු ලෙස පන්දු 2ක් ගත් විට දෙකම නිල් වීමේ සම්භාවිතාව කීයද?",2/7,3/7,4/7,1/7,A,බුද්ධි ඵලය
"පහත අංක මාලාවේ නොගැලපෙන අංකය: 10, 14, 18, 22, 27",10,14,22,27,D,බුද්ධි ඵලය
"කිලෝමීටර් 1.5ක් යනු මීටර් කීයක්ද?",150,1500,15000,150,C,B,බුද්ධි ඵලය
"සෘජුකෝණාස්‍රයක දිග 10cm, පළල 6cm නම් පරිමිතිය කීයද?",32,60,16,40,A,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ ඊළඟ පදය: 1, 4, 27, 256, ?",3125,1024,625,1296,A,බුද්ධි ඵලය
"මිනිසෙකුට අත් 2ක් ඇත. එසේ නම් මිනිසුන් 5 දෙනෙකුට ඇති මුළු අත් ගණන කීයද?",5,7,10,20,C,බුද්ධි ඵලය
"පැයකට මිනිත්තු 60ක් නම්, මිනිත්තු 180ක් යනු පැය කීයද?",2,3,4,1.5,B,බුද්ධි ඵලය
"වර්ගඵලය 100ක් වන වර්ගයක විකර්ණයේ දිග කීයද?",10,14.1,20,100,B,බුද්ධි ඵලය
"සතියේ දින 7ක් නම් දින 30කට පසු එළඹෙන දිනය (අද ඉරිදා නම්)?",සඳුදා,අඟහරුවාදා,බදාදා,බ්‍රහස්පතින්දා,A,බුද්ධි ඵලය
"ත්‍රිකෝණයක කෝණවල අනුපාතය 1:2:3 නම් කුඩාම කෝණය කීයද?",30,45,60,90,A,බුද්ධි ඵලය
"සංඛ්‍යා 3ක එකතුව 30කි. සාමාන්‍යය කීයද?",10,15,20,30,A,බුද්ධි ඵලය
"එක් කණ්ඩායමක ගැහැණු ළමුන් 15ක් සහ පිරිමි ළමුන් 10ක් ඇත. පිරිමි ළමුන් ප්‍රතිශතය කීයද?",40%,50%,60%,70%,A,බුද්ධි ඵලය
"පහත මාලාවේ අතුරුදහන් අංකය: 100, 90, 80, 70, ?",50,60,40,30,B,බුද්ධි ඵලය
"අර්ධ වෘත්තයක කෝණය කීයද?",90,180,360,270,B,බුද්ධි ඵලය
"මෝටර් රථයක් පැයට 80km වේගයෙන් පැය 3ක් ගමන් කරයි. ගිය දුර කීයද?",200km,240km,260km,280km,B,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ වැරදි අංකය: 5, 10, 20, 30, 40",10,20,30,40,A,බුද්ධි ඵලය
"පවුලක සහෝදරයන් 3 දෙනෙකි. සෑම අයෙකුටම එක් සහෝදරියක් සිටී. මුළු දරුවන් ගණන කීයද?",3,4,6,8,B,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ අතුරුදහන් අකුර: A, C, F, J, ?",N,O,P,Q,A,බුද්ධි ඵලය
"කණ්ඩායමක අයට අතට අත දීමක් සිදු කළ විට, සිදුවන ක්‍රියාව කුමන ගණිතමය අනුක්‍රමයක්ද?",අංක ගණිත,ජ්‍යාමිතික,අනුක්‍රමික,ඝන,A,බුද්ධි ඵලය
"උදෑසන 9ට පැය කටුව සහ මිනිත්තු කටුව අතර කෝණය කීයද?",90,180,0,45,A,බුද්ධි ඵලය
"කණ්ඩායමක 60% කාන්තාවන්ය. 500ක් සිටින කණ්ඩායමක පිරිමින් ගණන කීයද?",200,300,100,250,A,බුද්ධි ඵලය
"සංකේත ක්‍රමයකදී 'HOUSE' = 'IPVTF', 'SCHOOL' = ?",TDIPPM,TIDPPM,TDIPMP,TIDPMP,A,බුද්ධි ඵලය
"පෙට්ටියක රතු පන්දු 5ක්, නිල් පන්දු 3ක් ඇත. අහඹු ලෙස ගත් විට නිල් පන්දුවක් වීමේ සම්භාවිතාව කීයද?",3/5,3/8,5/8,2/8,B,බුද්ධි ඵලය
"උෂ්ණත්වය 5කින් වැඩි වී 2කින් අඩු වේ. මුළු වෙනස කීයද?",+3, -3, +7, -7,A,බුද්ධි ඵලය
"A සිට B දක්වා 10km, B සිට C දක්වා 15km වේ. A සිට C දක්වා අවම දුර කීයද?",5km,25km,18km,20km,A,බුද්ධි ඵලය
"අවුරුදු 30කට පෙර පියාගේ වයස පුතා මෙන් 10 ගුණයකි. වයස් එකතුව 70 නම් වයස් කීයද?",50 සහ 20,60 සහ 10,40 සහ 30,55 සහ 15,B,බුද්ධි ඵලය
"පහත අනුක්‍රමය: 2, 3, 5, 7, 11, ?",12,13,14,15,B,බුද්ධි ඵලය
"මිනිත්තු 180 යනු පැය කීයද?",2,3,4,3.5,B,බුද්ධි ඵලය
"සංඛ්‍යා 3ක මධ්‍යන්‍යය 10කි. ඉන් දෙකක් 8 සහ 12 නම් තුන්වැන්න කීයද?",10,12,8,14,A,බුද්ධි ඵලය
"අනුක්‍රමය: Z, X, V, T, ?",R,S,Q,P,A,බුද්ධි ඵලය
"සේවකයින් 5 දෙනෙකුට දින 10ක් නම් 10 දෙනෙකුට දින කීයද?",5,20,15,2,A,බුද්ධි ඵලය
"වර්ගඵලය 100ක් වන වර්ගයක අතුරු විකර්ණයේ දිග කීයද?",10,14.14,12,15,B,බුද්ධි ඵලය
"සොක්‍රටීස් මිනිසෙකි. සියලුම මිනිසුන් මරණයට පත්වේ. එසේ නම්?",සොක්‍රටීස් මරණයට පත්වේ,සොක්‍රටීස් අමරණීයයි,සොක්‍රටීස් මිනිසෙක් නොවේ,කිසිවක් නොවේ,A,බුද්ධි ඵලය
"3^3 ගණනය කරන්න.",9,27,81,6,B,බුද්ධි ඵලය
"පහත මාලාව: 100, 81, 64, 49, ?",36,25,42,30,A,බුද්ධි ඵලය
"මෝටර් රථයක් 80km/h වේගයෙන් යයි. 200km යාමට ගතවන කාලය කීයද?",2h,2.5h,3h,1.5h,B,බුද්ධි ඵලය
"අනුක්‍රමය: 5, 10, 20, 35, 50, ?",60,65,70,75,D,බුද්ධි ඵලය
"කණ්ඩායමක ගැහැණු ළමුන් පිරිමි මෙන් දෙගුණයකි. මුළු 30ක් නම් ගැහැණු කීයද?",10,15,20,25,C,බුද්ධි ඵලය
"3 දෙනෙකුට මිනිත්තු 30ක් නම් 9 දෙනෙකුට ගතවන කාලය කීයද?",90,10,20,5,B,බුද්ධි ඵලය
"සෘජුකෝණාස්‍රයක දිග 10cm, පළල 5cm වර්ගඵලය කීයද?",15,50,30,25,B,බුද්ධි ඵලය
"මාලාව: 1, 8, 27, 64, ?",81,100,125,144,C,බුද්ධි ඵලය
"පැය කටුව මිනිත්තු 1කදී ගමන් කරන කෝණය?",0.5,0.25,1,6,A,බුද්ධි ඵලය
"A, B, C දින 10, 15, 30ක් නම් තිදෙනාම එක්ව දින කීයද?",5,6,8,10,A,බුද්ධි ඵලය
"අනුක්‍රමය: 2, 5, 11, 23, 47, ?",94,95,96,97,B,බුද්ධි ඵලය
"සංකේත ක්‍රමයේ GOLD=HOME නම් IRON=?",JSPT,KSPT,JSPU,JSPV,A,බුද්ධි ඵලය
"5^x = 125 නම් x කීයද?",2,3,4,5,B,බුද්ධි ඵලය
"කේතයක 123=Light, 356=Light and Dark, 589=Dark and Night නම් Light යනු?",1,2,3,5,C,බුද්ධි ඵලය
"වර්ගඵලය 144ක් වූ සමචතුරස්‍රයකින් අඩක් ඉවත් කළ විට දිග 12, පළල 6 වූ හැඩයේ පරිමිතිය?",12,18,36,48,C,බුද්ධි ඵලය
"ලිපිගොනු 10න් 3ක් තෝරා ගත හැකි ක්‍රම ගණන?",120,720,5040,100,A,බුද්ධි ඵලය
"අංක: 1, 8, 27, 64, 124 වැරදි අංකය සොයන්න.",8,27,64,124,D,බුද්ධි ඵලය
"කේතයක TABLE = UBCMF නම් CHAIR = ?",DIBSJ,DIBJS,DIBQS,DIBSR,A,බුද්ධි ඵලය
"සඳුදා නම් දින 365කට පසු දිනය කීයද?",සඳුදා,අඟහරුවාදා,ඉරිදා,බදාදා,A,බුද්ධි ඵලය
"අනුපාතය 2:3:4 නම් විශාලතම කෝණය කීයද?",60,80,90,100,B,බුද්ධි ඵලය
"X>Y, Z>W, Y>Z නම් උසම කවුද?",X,Y,Z,W,A,බුද්ධි ඵලය
"ශ්‍රේණිය: 3, 6, 18, 72, ?",288,360,432,504,B,බුද්ධි ඵලය
"උතුරට 5km, දකුණට 8km ගිය විට ආරම්භයේ සිට පිහිටීම?",උතුර 3km,දකුණ 3km,උතුර 13km,දකුණ 13km,B,බුද්ධි ඵලය
"සංඛ්‍යා 5ක එකතුව 500, දෙකක එකතුව 100 නම් අනෙක් 3ක මධ්‍යන්‍යය?",100,133.3,150,200,B,බුද්ධි ඵලය
"පන්දු 4ක්, 6ක් ඇත. 2ක් ගත් විට දෙකම එකම වර්ණ වීමේ සම්භාවිතාව?",1/3,2/3,7/15,8/15,C,බුද්ධි ඵලය
"වසර 5කට පෙර පියා පුතා මෙන් 4 ගුණයක්, 5කට පසු දෙගුණයක්. වර්තමාන වයස්?",35 සහ 10,40 සහ 15,45 සහ 20,50 සහ 25,A,බුද්ධි ඵලය
"දිග 20% වැඩි, පළල 20% අඩු වර්ගඵලයේ වෙනස?",0%,4% වැඩි,4% අඩු,2% අඩු,C,බුද්ධි ඵලය
"අනුක්‍රමය: A, D, I, P, ?",W,X,Y,Z,C,බුද්ධි ඵලය
"12 දෙනෙකුට දින 8ක් නම් 16 දෙනෙකුට දින කීයද?",6,7,9,10,A,බුද්ධි ඵලය
"වෙනස් අංකය: 144, 169, 196, 226",144,169,196,226,D,බුද්ධි ඵලය
"වැඩිම දුරක් පන්දුවක් යාමට අවශ්‍ය කෝණය?",30,45,60,90,B,බුද්ධි ඵලය
"2 වැනිදා අඟහරුවාදා නම් 30 වැනිදා කුමන දිනද?",සඳුදා,අඟහරුවාදා,බදාදා,බ්‍රහස්පතින්දා,A,බුද්ධි ඵලය
"කේතයක APPLE = ELPPA නම් PEAR = ?",RAEP,REAP,RPAE,RAEP,A,බුද්ධි ඵලය
"අනුක්‍රමය: 0, 7, 26, 63, ?",80,95,124,125,C,බුද්ධි ඵලය
"වැඩි අගය: (2^3)^2 හෝ 2^(3^2)?",පළමුවැන්න,දෙවැන්න,දෙකම සමානයි,කිසිවක් නොවේ,B,බුද්ධි ඵලය
"A=B සහෝදරයෝ, C=A පියා, D=B පුතා නම් D යනු C ට කවුද?",පුතා,මුණුපුරා,සහෝදරයා,මාමා,B,බුද්ධි ඵලය
"අකුරු: C, F, I, L, ?",O,P,Q,R,A,බුද්ධි ඵලය
"123=Hot Coffee, 356=Very Hot Day, 589=Day and Night නම් Coffee යනු?",1,2,3,5,A,බුද්ධි ඵලය
