question,optionA,optionB,optionC,optionD,answer,category
පරිගණකයේ පියා (Father of Computer) කවුද?,ඇලන් ටියුරින්,බිල් ගේට්ස්,චාල්ස් බැවේජ්,ටිම් බර්නර්ස් ලී,C,සාමාන්‍ය දැනුම
ලෝක ව්‍යාප්ත ජාලය (WWW) නිර්මාණය කළේ කවුද?,ටිම් බර්නර්ස් ලී,චාල්ස් බැවේජ්,ස්ටීව් ජොබ්ස්,බිල් ගේට්ස්,A,සාමාන්‍ය දැනුම
සූර්ය මණ්ඩලයේ සූර්යයාට ළඟම ඇති ග්‍රහලෝකය කුමක්ද?,සිකුරු,පෘථිවිය,අඟහරු,බුධ,D,සාමාන්‍ය දැනුම
සූර්ය මණ්ඩලයේ විශාලතම ග්‍රහලෝකය කුමක්ද?,සෙනසුරු,බ්‍රහස්පති,නෙප්චූන්,යුරේනස්,B,සාමාන්‍ය දැනුම
'රතු ග්‍රහයා' (Red Planet) ලෙස හඳුන්වන්නේ කුමක්ද?,බුධ,සිකුරු,අඟහරු,බ්‍රහස්පති,C,සාමාන්‍ය දැනුම
ජීවීන් සිටින බවට තහවුරු වී ඇති එකම ග්‍රහලෝකය කුමක්ද?,අඟහරු,පෘථිවිය,සිකුරු,බ්‍රහස්පති,B,සාමාන්‍ය දැනුම
පෘථිවියට ඇති එකම ස්වභාවික උපග්‍රහයා කවුද?,අඟහරු,චන්ද්‍රයා,ටයිටන්,ගනිමීඩ්,B,සාමාන්‍ය දැනුම
ආලෝක වර්ෂයක් (Light Year) යනු කුමක් මනින ඒකකයක්ද?,කාලය,වේගය,දුර,ස්කන්ධය,C,සාමාන්‍ය දැනුම
ජලය සෑදී ඇති මූලද්‍රව්‍ය දෙක කුමක්ද?,හයිඩ්‍රජන් හා ඔක්සිජන්,නයිට්‍රජන් හා ඔක්සිජන්,කාබන් හා හයිඩ්‍රජන්,කාබන් හා ඔක්සිජන්,A,සාමාන්‍ය දැනුම
අප හුස්ම ගන්නා වාතයේ වැඩිපුරම අඩංගු වායුව කුමක්ද?,ඔක්සිජන්,කාබන් ඩයොක්සයිඩ්,නයිට්‍රජන්,හීලියම්,C,සාමාන්‍ය දැනුම
ශාක ආහාර නිපදවන ක්‍රියාවලිය කුමක්ද?,ශ්වසනය,ප්‍රභාසංශ්ලේෂණය,සංසේචනය,පරාගනය,B,සාමාන්‍ය දැනුම
ශාක පත්‍ර කොළ පැහැ වීමට හේතු වන වර්ණකය කුමක්ද?,කැරොටින්,ක්ලෝරෝෆිල්,සැන්තොෆිල්,ඇන්තොසයනින්,B,සාමාන්‍ය දැනුම
විටමින් C ඌනතාවය නිසා ඇතිවන රෝගය කුමක්ද?,බෙරිබෙරි,ස්කර්වි,රිකට්ස්,රක්තහීනතාවය,B,සාමාන්‍ය දැනුම
ඇස් පෙනීම දුර්වල වීමට බලපාන විටමින් ඌනතාවය කුමක්ද?,විටමින් A,විටමින් B,විටමින් C,විටමින් D,A,සාමාන්‍ය දැනුම
සූර්යාලෝකය මගින් අපට ලැබෙන විටමින් වර්ගය කුමක්ද?,විටමින් A,විටමින් B,විටමින් C,විටමින් D,D,සාමාන්‍ය දැනුම
ශබ්දය මනින ඒකකය කුමක්ද?,වෝල්ට්,ඇම්පියර්,ඩෙසිබල්,කෙල්වින්,C,සාමාන්‍ය දැනුම
විදුලිය මනින ප්‍රධාන ඒකකය (ධාරාව) කුමක්ද?,වෝල්ට්,ඇම්පියර්,ඕම්,වොට්,B,සාමාන්‍ය දැනුම
උෂ්ණත්වය මනින ජාත්‍යන්තර සම්මත ඒකකය (SI Unit) කුමක්ද?,සෙල්සියස්,ෆැරන්හයිට්,කෙල්වින්,කැන්ඩෙලා,C,සාමාන්‍ය දැනුම
දියමන්ති සෑදී ඇත්තේ කුමන මූලද්‍රව්‍යයෙන්ද?,සිලිකන්,කාබන්,යකඩ,පොස්පරස්,B,සාමාන්‍ය දැනුම
ලෝහ අතරින් ද්‍රව තත්ත්වයේ පවතින ලෝහය කුමක්ද?,යකඩ,රසදිය,තඹ,ඇලුමිනියම්,B,සාමාන්‍ය දැනුම
දෙහි වල අඩංගු අම්ලය කුමක්ද?,සිට්‍රික් අම්ලය,හයිඩ්‍රොක්ලෝරික් අම්ලය,සල්ෆියුරික් අම්ලය,ඇසිටික් අම්ලය,A,සාමාන්‍ය දැනුම
ගැස්ට්‍රයිටිස් රෝගයට හේතු වන්නේ ආමාශයේ වැඩි වන කුමන අම්ලයද?,සිට්‍රික් අම්ලය,හයිඩ්‍රොක්ලෝරික් අම්ලය,නයිට්‍රික් අම්ලය,ලැක්ටික් අම්ලය,B,සාමාන්‍ය දැනුම
මැලේරියාව බෝ කරන සත්වයා කවුද?,ගෙඹි,ඇනෝෆිලිස් මදුරුවා,ගවයා,මැස්සා,B,සාමාන්‍ය දැනුම
ඩෙංගු රෝගය බෝ කරන මදුරු විශේෂය කුමක්ද?,කියුලෙක්ස්,ඇනෝෆිලිස්,ඊඩිස් ඊජිප්ටයි,මන්සෝනියා,C,සාමාන්‍ය දැනුම
ජලභීතිකා රෝගය (Rabies) බෝ කරන්නේ කුමන සත්වයෙකුගෙන්ද?,පූසා,බල්ලා,මීයා,ඌරා,B,සාමාන්‍ය දැනුම
පරිගණකයක මොළය (Brain of the computer) ලෙස හඳුන්වන්නේ කුමක්ද?,RAM,ROM,CPU,Hard Disk,C,සාමාන්‍ය දැනුම
'RAM' යන්නෙහි දිගු නාමය කුමක්ද?,Random Access Memory,Read Access Memory,Rapid Access Memory,Random Available Memory,A,සාමාන්‍ය දැනුම
Facebook හි වත්මන් මව් සමාගම කුමක්ද?,Google,Meta,Microsoft,Amazon,B,සාමාන්‍ය දැනුම
ගූගල් (Google) සමාගමේ නිර්මාතෘවරුන් කවුද?,බිල් ගේට්ස් සහ පෝල් ඇලන්,ලැරී පේජ් සහ සර්ජි බ්‍රින්,ස්ටීව් ජොබ්ස් සහ ස්ටීව් වොස්නියැක්,මාර්ක් සකර්බර්ග්,B,සාමාන්‍ය දැනුම
අභ්‍යවකාශයට ගිය පළමු සත්වයා කවුද?,චිම්පන්සියෙක්,ලයිකා (බල්ලා),මීයක්,වඳුරෙක්,B,සාමාන්‍ය දැනුම
සූර්යයා යනු කුමක්ද?,ග්‍රහලෝකයකි,තාරකාවකි,උපග්‍රහයෙකි,උල්කාපාතයකි,B,සාමාන්‍ය දැනුම
පෘථිවිය තමන් වටා භ්‍රමණය වීමට ගතවන කාලය කොපමණද?,පැය 12,පැය 24,දින 30,දින 365,B,සාමාන්‍ය දැනුම
පෘථිවිය සූර්යයා වටා පරිභ්‍රමණය වීමට ගතවන කාලය කොපමණද?,දින 30,දින 180,දින 365,දින 730,C,සාමාන්‍ය දැනුම
දේදුන්නෙහි පාට කීයක් තිබේද?,05,06,07,08,C,සාමාන්‍ය දැනුම
ආලෝකයේ වේගය තත්පරයට කොපමණද?,කි.මී. 100,000,කි.මී. 200,000,කි.මී. 300,000,කි.මී. 400,000,C,සාමාන්‍ය දැනුම
එක්ස් කිරණ (X-ray) සොයාගත්තේ කවුද?,විල්හෙල්ම් රොන්ට්ගන්,ඇල්ෆ්‍රඩ් නොබෙල්,අයිසැක් නිව්ටන්,තෝමස් එඩිසන්,A,සාමාන්‍ය දැනුම
ඩයිනමයිට් (Dynamite) සොයාගත්තේ කවුද?,විල්හෙල්ම් රොන්ට්ගන්,ඇල්ෆ්‍රඩ් නොබෙල්,අයිසැක් නිව්ටන්,තෝමස් එඩිසන්,B,සාමාන්‍ය දැනුම
දුර දෘෂ්ටිකත්වය සඳහා භාවිතා කරන කාච වර්ගය කුමක්ද?,කුම්භ කාච,අවතල කාච,ද්විත්ව කාච,සිලින්ඩරාකාර කාච,A,සාමාන්‍ය දැනුම
ලෝකයේ සැහැල්ලුම වායුව කුමක්ද?,ඔක්සිජන්,නයිට්‍රජන්,හයිඩ්‍රජන්,කාබන් ඩයොක්සයිඩ්,C,සාමාන්‍ය දැනුම
බැලූන් වලට පුරවන, ගිනි නොගන්නා වායුව කුමක්ද?,හයිඩ්‍රජන්,හීලියම්,ඔක්සිජන්,නයිට්‍රජන්,B,සාමාන්‍ය දැනුම
යකඩ මලකඩ කෑම රසායනිකව හඳුන්වන්නේ?,ඔක්සිකරණය,අපචයනය,ස්වභාවික දිරාපත් වීම,විකිරණශීලීතාව,A,සාමාන්‍ය දැනුම
රන් (Gold) වල රසායනික සංකේතය කුමක්ද?,Go,Gd,Au,Ag,C,සාමාන්‍ය දැනුම
ජලයේ රසායනික සූත්‍රය කුමක්ද?,H₂O,CO₂,NaCl,H₂SO₄,A,සාමාන්‍ය දැනුම
ලුණු (Table Salt) වල රසායනික නාමය කුමක්ද?,සෝඩියම් කාබනේට්,සෝඩියම් ක්ලෝරයිඩ්,මැග්නීසියම් සල්ෆේට්,පොටෑසියම් ක්ලෝරයිඩ්,B,සාමාන්‍ය දැනුම
මිනිස් ශරීරයේ උෂ්ණත්වය පාලනය කරන මොළයේ කොටස කුමක්ද?,තැලමස්,හයිපොතැලමස්,මස්තිෂ්කය,අනුමස්තිෂ්කය,B,සාමාන්‍ය දැනුම
මිනිස් රුධිරයේ ඇති ප්‍රධාන රුධිර කාණ්ඩ 4 කුමක්ද?,A, B, C, D,A, B, AB, O,A+, B+, AB+, O+,A, B, O, AB,B,සාමාන්‍ය දැනුම
විශ්ව දායකයා (Universal Donor) ලෙස හඳුන්වන රුධිර කාණ්ඩය කුමක්ද?,A,B,AB,O,D,සාමාන්‍ය දැනුම
විශ්ව ප්‍රතිග්‍රාහකයා (Universal Recipient) ලෙස හඳුන්වන රුධිර කාණ්ඩය කුමක්ද?,A,B,AB,O,C,සාමාන්‍ය දැනුම
දියවැඩියාව රෝගයට හේතුවන අඩු වන හෝර්මෝනය කුමක්ද?,ඇඩ්‍රිනලින්,ඉන්සියුලින්,තයිරොක්සින්,ටෙස්ටොස්ටෙරෝන්,B,සාමාන්‍ය දැනුම
ඉන්සියුලින් නිපදවන ශරීරයේ ඉන්ද්‍රිය කුමක්ද?,අක්මාව,වකුගඩු,අග්න්‍යාශය,පිතාශය,C,සාමාන්‍ය දැනුම
මිනිස් මොළය ආරක්ෂා වී ඇති අස්ථි ව්‍යුහය කුමක්ද?,පර්ශු,කපාලය,උරස් කූඩුව,කොඳු ඇට පෙළ,B,සාමාන්‍ය දැනුම
කශේරුකාවක් (කොඳු ඇට පෙළක්) නොමැති සතුන් හඳුන්වන්නේ?,කශේරුකීන්,අපෘෂ්ඨවංශීන්,උභයජීවීන්,ක්ෂීරපායින්,B,සාමාන්‍ය දැනුම
පියාසර කළ හැකි එකම ක්ෂීරපායී සත්වයා කවුද?,කුරුල්ලා,වවුලා,සමනලයා,මීයා,B,සාමාන්‍ය දැනුම
බිත්තර දමන ක්ෂීරපායී සතුන් දෙදෙනා කවුද?,කැන්ගරුවා සහ කෝලාවා,ප්ලැටිපස් සහ එකිඩ්නා,සිංහයා සහ කොටියා,වෙල් සහ ඩොල්ෆින්,B,සාමාන්‍ය දැනුම
ඩයිනෝසරයන් වඳ වී යාමට හේතුව ලෙස සැලකෙන්නේ කුමක්ද?,උල්කාපාතයක් ගැටීම,විනාශකාරී ගිනි කඳු,අධික සීතල,වෛරසයක්,A,සාමාන්‍ය දැනුම
පරිගණක මෘදුකාංග වර්ග දෙක කුමක්ද?,System & Application,Input & Output,Hardware & Software,Online & Offline,A,සාමාන්‍ය දැනුම
'Windows' මෙහෙයුම් පද්ධතිය නිපදවූ සමාගම කුමක්ද?,Apple,Google,Microsoft,Linux,C,සාමාන්‍ය දැනුම
ජංගම දුරකථන සඳහා භාවිතා වන ජනප්‍රියම මෙහෙයුම් පද්ධතිය (OS) කුමක්ද?,iOS,Android,Windows Mobile,Symbian,B,සාමාන්‍ය දැනුම
PDF යන්නෙහි අර්ථය කුමක්ද?,Portable Document Format,Personal Document File,Public Data Format,Print Document File,A,සාමාන්‍ය දැනුම
Wi-Fi යන්නෙහි අදහස කුමක්ද?,Wireless Fidelity,Wide Internet Fidelity,Web Internet File,Wireless File,A,සාමාන්‍ය දැනුම
විද්‍යුත් තැපෑල (Email) යැවීමේදී '@' ලකුණ අනිවාර්යද?,ඔව්,නැත,සමහර විට,සැලකිය යුතු නැත,A,සාමාන්‍ය දැනුම
චන්ද්‍රයා මතට ගිය පළමු යානය කුමක්ද?,ඇපලෝ 11,වොයේජර් 1,චන්ද්‍රයාන් 1,ස්පුට්නික් 1,A,සාමාන්‍ය දැනුම
අඟහරු ග්‍රහයා වෙත යැවූ රෝවර් යානයක් නම් කරන්න?,හබල්,කියුරියෝසිටි,ජේම්ස් වෙබ්,කැසිනි,B,සාමාන්‍ය දැනුම
ඉන්දියාව සඳ මතට යැවූ සාර්ථකම මෙහෙයුම කුමක්ද?,චන්ද්‍රයාන්-1,චන්ද්‍රයාන්-2,චන්ද්‍රයාන්-3,මංගල්යාන්,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව අභ්‍යවකාශයට යැවූ පළමු චන්ද්‍රිකාව කුමක්ද?,රාවණ-1,සැටලයිට්-1,ලංකාසැට්,ආකාශ-1,A,සාමාන්‍ය දැනුම
සුළං බලයෙන් විදුලිය නිපදවීම හඳුන්වන්නේ?,සූර්ය ශක්තිය,සුළං බල ශක්තිය,ජල විදුලිය,තාප විදුලිය,B,සාමාන්‍ය දැනුම
සූර්ය කෝෂ (Solar Panels) මගින් නිපදවන්නේ කුමන ශක්තියද?,තාප ශක්තිය,ආලෝක ශක්තිය,විදුලි ශක්තිය,යාන්ත්‍රික ශක්තිය,C,සාමාන්‍ය දැනුම
න්‍යෂ්ටික බලාගාරවල භාවිතා කරන ප්‍රධාන ඉන්ධන වර්ගය කුමක්ද?,ගල් අඟුරු,පෙට්‍රල්,යුරේනියම්,ස්වාභාවික වායු,C,සාමාන්‍ය දැනුම
ඕසෝන් ස්ථරය වැදගත් වන්නේ ඇයි?,වාතය පිරිසිදු කිරීමට,අහිතකර UV කිරණ පාරාවළක්වා ගැනීමට,උෂ්ණත්වය වැඩි කිරීමට,වර්ෂාව ලබාදීමට,B,සාමාන්‍ය දැනුම
ගෝලීය උෂ්ණත්වය ඉහළ යාමට (Global Warming) ප්‍රධාන හේතුවන වායුව කුමක්ද?,ඔක්සිජන්,නයිට්‍රජන්,කාබන් ඩයොක්සයිඩ්,හීලියම්,C,සාමාන්‍ය දැනුම
අම්ල වැසි ඇති වීමට හේතුවන වායූන් මොනවාද?,ඔක්සිජන් හා නයිට්‍රජන්,සල්ෆර් ඩයොක්සයිඩ් හා නයිට්‍රජන් ඔක්සයිඩ්,කාබන් ඩයොක්සයිඩ් හා මීතේන්,හයිඩ්‍රජන් හා හීලියම්,B,සාමාන්‍ය දැනුම
චුම්බකයකට ඇදගන්නා ප්‍රධාන ලෝහ මොනවාද?,යකඩ, නිකල්, කොබෝල්ට්,තඹ, රිදී, රත්තරන්,ඇලුමිනියම්, තඹ, යකඩ,සින්ක්, යකඩ, නිකල්,A,සාමාන්‍ය දැනුම
අකුණු ගසන විට මුලින්ම දකින්නේ කුමක්ද?,ශබ්දය,එළිය,දෙකම එකවර,නොපෙනේ,B,සාමාන්‍ය දැනුම
අකුණු සන්නායකයක් සවි කරන්නේ ඇයි?,අලංකාරයට,විදුලිය ඉතිරි කිරීමට,ගොඩනැගිලි අකුණු වලින් ආරක්ෂා කිරීමට,ආලෝකය වැඩි කිරීමට,C,සාමාන්‍ය දැනුම
උණ කටුව (Thermometer) තුල අඩංගු ද්‍රව ලෝහය කුමක්ද?,ගැලියම්,රසදිය,ලෝහ මිශ්‍රණයක්,ජලය,B,සාමාන්‍ය දැනුම
කැමරාවක සංවේදකය ක්‍රියා කරන්නේ මිනිස් ඇසෙහි කුමන කොටසට සමානවද?,කනිනිකාව,දෘෂ්ටි විතානය,කාචය,අක්ෂි පටලය,B,සාමාන්‍ය දැනුම
ගුවන් විදුලි තරංග (Radio Waves) ගමන් කරන්නේ කුමන වේගයකින්ද?,ශබ්දයේ වේගයෙන්,ආලෝකයේ වේගයෙන්,සුළඟේ වේගයෙන්,සෙමින්,B,සාමාන්‍ය දැනුම
සාපේක්ෂතාවාදය සොයාගත් විද්‍යාඥයා කවුද?,ඇල්බට් අයින්ස්ටයින්,අයිසැක් නිව්ටන්,ගැලීලියෝ ගැලීලි,නිකොලා ටෙස්ලා,A,සාමාන්‍ය දැනුම
'බිග් බැං' (Big Bang) න්‍යායෙන් කියවෙන්නේ කුමක් ගැනද?,පෘථිවියේ ඉතිහාසය,විශ්වයේ ආරම්භය,ජීවීන්ගේ පරිණාමය,ග්‍රහලෝකවල පිහිටීම,B,සාමාන්‍ය දැනුම
පෘථිවිය ගෝලාකාර බව මුලින්ම ප්‍රකාශ කළේ කවුද?,ගැලීලියෝ,පයිතගරස්,නිව්ටන්,අයින්ස්ටයින්,B,සාමාන්‍ය දැනුම
සබ්මැරීනයක් දිය යට ගමන් කරන විට ජල මතුපිට බැලීමට භාවිතා කරන උපකරණය කුමක්ද?,දුරේක්ෂය,අන්වීක්ෂය,පරිස්කෝපය,පෙරීස්කෝපය,C,සාමාන්‍ය දැනුම
භූමිකම්පා මනින උපකරණය කුමක්ද?,බැරෝමීටරය,භූකම්පන මානය (Seismograph),තාප මානය,හයිග්‍රෝමීටරය,B,සාමාන්‍ය දැනුම
සුනාමි (Tsunami) යනු කුමක්ද?,ගංවතුරක්,මුහුදු පතුලේ භූමිකම්පාවක් නිසා ඇතිවන රළ පහරක්,සුළි කුණාටුවක්,මුහුදු දිය උතුරා යාමක්,B,සාමාන්‍ය දැනුම
