question,optionA,optionB,optionC,optionD,answer,category
ටෙස්ට් වැඩිම කඩුලු ලාභියා?,මුත්තයියා මුරලිදරන්,ෂේන් වෝන්,අනිල් කුම්බ්ලේ,ජේම්ස් ඇන්ඩර්සන්,A,සාමාන්‍ය දැනුම
මුරලිදරන් ලබාගත් ටෙස්ට් කඩුලු ගණන?,600,700,800,900,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළමු ටෙස්ට් නායකයා?,බන්දුල වර්ණපුර,අර්ජුන රණතුංග,රන්ජන් මඩුගල්ල,සිදත් වෙත්තමුණි,A,සාමාන්‍ය දැනුම
පළමු ටෙස්ට් තරගය පැවති ක්‍රීඩාංගණය?,එස්.එස්.සී,පී. සරා ඕවල්,ආර්. ප්‍රේමදාස,සිංහල ක්‍රීඩා සමාජය,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව T20 ලෝක කුසලානය දිනුවේ?,2007,2009,2012,2014,D,සාමාන්‍ය දැනුම
පැරා ඔලිම්පික් කා සඳහාද?,පාසල් දරුවන්,ආබාධිත ක්‍රීඩකයින්,වයෝවෘද්ධ අය,විශ්‍රාමිකයින්,B,සාමාන්‍ය දැනුම
ටෝකියෝ පැරා ඔලිම්පික් රන් පදක්කම්ලාභියා?,දිනේෂ් ප්‍රියන්ත,සමිත දුලාන්,ලලිත් රංජිත්,සුරේෂ් කුමාර,A,සාමාන්‍ය දැනුම
දිනේෂ් ප්‍රියන්ත රන් පදක්කම දිනුවේ කුමන ඉසව්වෙන්ද?,දුර පැනීම,හෙල්ල විසිකිරීම,යගුලිය,කවපෙත්ත,B,සාමාන්‍ය දැනුම
ක්‍රිකට් 'මහත්වරුන්ගේ ක්‍රීඩාව' ලෙස හඳුන්වන්නේ ඇයි?,විනය නිසා,ප්‍රේක්ෂකයන් නිසා,ලාභය නිසා,වේගය නිසා,A,සාමාන්‍ය දැනුම
'ලිට්ල් මාස්ටර්' යන අන්වර්ථ නාමය?,විරාත් කෝලි,සචින් තෙන්ඩුල්කාර්,සුනිල් ගවස්කාර්,එම්.එස්. දෝනි,B,සාමාන්‍ය දැනුම
ඔලිම්පික් පදක්කම් වර්ග 3?,රන්/රිදී/ලෝකඩ,රන්/රිදී/තඹ,රන්/රිදී/යකඩ,රන්/රිදී/ප්ලැටිනම්,A,සාමාන්‍ය දැනුම
2022 පාපන්දු ලෝක කුසලානය දිනූ රට?,ප්‍රංශය,බ්‍රසීලය,ආර්ජන්ටිනාව,ජර්මනිය,C,සාමාන්‍ය දැනුම
රසීලය ප්‍රසිද්ධ කුමන ක්‍රීඩාවටද?,ක්‍රිකට්,පාපන්දු,ටෙනිස්,වොලිබෝල්,B,සාමාන්‍ය දැනුම
පැසපන්දු (Basketball) එක් පිළකට ක්‍රීඩකයින් ගණන?,5,6,7,8,A,සාමාන්‍ය දැනුම
හොකී එක් පිළකට ක්‍රීඩකයින් ගණන?,9,10,11,12,C,සාමාන්‍ය දැනුම
වොලිබෝල් ජාතික ක්‍රීඩාව ලෙස නම් කළ වර්ෂය?,1985,1990,1991,1995,C,සාමාන්‍ය දැනුම
ඔලිම්පික් වළලු 5 නිරූපණය කරන්නේ?,මහාද්වීප 5,ක්‍රීඩා 5,කාල පරිච්ඡේද 5,රටවල් 5,A,සාමාන්‍ය දැනුම
ආසියානු ක්‍රිකට් තරගාවලිය සංවිධානය කරන්නේ?,ICC,BCCI,ACC,SLC,C,සාමාන්‍ය දැනුම
එල්ලේ ක්‍රීඩාවට සමාන ජාත්‍යන්තර ක්‍රීඩාව?,බේස්බෝල්,හොකී,ටෙනිස්,රග්බි,A,සාමාන්‍ය දැනුම
සනත් ජයසූරිය ප්‍රසිද්ධ වූයේ කුමන ශෛලියටද?,ආරක්ෂාකාරී,ප්‍රහාරාත්මක,මධ්‍යස්ථ,පන්දු රැකීමට,B,සාමාන්‍ය දැනුම
එක්දින Hat-trick ලබාගත් පළමු ශ්‍රී ලාංකිකයා?,ලසත් මාලිංග,චමින්ද වාස්,මුත්තයියා මුරලිදරන්,රංගන හේරත්,B,සාමාන්‍ය දැනුම
ලසත් මාලිංග ප්‍රසිද්ධ වාර්තාව?,පන්දු 4කදී කඩුලු 4ක්,සංචිතයේ නායකයා වීම,වේගවත්ම පන්දු යවන්නා,පන්දු 5කදී කඩුලු 5ක්,A,සාමාන්‍ය දැනුම
කබඩි බහුලව ප්‍රචලිත කුමන කලාපයේද?,යුරෝපය,අප්‍රිකාව,දකුණු ආසියාව,ඇමරිකාව,C,සාමාන්‍ය දැනුම
බැඩ්මින්ටන් භාවිතා කරන පිහාටු උපකරණය?,බෝලයක්,ෂටල් කොක්,රැකට්,දැලක්,B,සාමාන්‍ය දැනුම
පින්පොං යනු කුමන ක්‍රීඩාවද?,ටෙනිස්,බැඩ්මින්ටන්,වගු ටෙනිස්,වොලිබෝල්,C,සාමාන්‍ය දැනුම
මුහම්මද් අලි ප්‍රසිද්ධ ක්‍රීඩාව?,බොක්සිං,රග්බි,මල්ලවපොර,ජූඩෝ,A,සාමාන්‍ය දැනුම
බොක්සිං තරග පැවැත්වෙන ස්ථානය?,වළල්ල (Ring),පිටිය,තණතීරුව,වගුව,A,සාමාන්‍ය දැනුම
ජූඩෝ උපත ලැබූ රට?,චීනය,ජපානය,කොරියාව,තායිලන්තය,B,සාමාන්‍ය දැනුම
කරාතේ උපත ලැබූ රට?,චීනය,ජපානය,කොරියාව,ඉන්දියාව,B,සාමාන්‍ය දැනුම
සුවමෝ මල්ලවපොර ප්‍රසිද්ධ රට?,චීනය,ජපානය,කොරියාව,මොන්ගෝලියාව,B,සාමාන්‍ය දැනුම
ක්‍රිකට් 'වයිඩ්' (Wide) පන්දුවක් යනු?,සීමාවට පිටතින්,විකට්ටුවට උඩින්,අතින් දැමීම,බිම වැදීම,A,සාමාන්‍ය දැනුම
No Ball සඳහා ලැබෙන අමතර වාසිය?,නිදහස් පහරක් (Free Hit),කඩුල්ලක් ලැබීම,ලකුණු 5ක්,අමතර පන්දුවක්,A,සාමාන්‍ය දැනුම
LBW යන්නෙහි තේරුම?,කඩුල්ල මුවා කිරීම,පන්දු යැවීම,පන්දුවට පහර දීම,පන්දුව අල්ලා ගැනීම,A,සාමාන්‍ය දැනුම
ක්‍රිකට් පිත්ත සැදීමට ගන්නා ලී වර්ගය?,ඕක්,පයින්,විලෝ,සීඩර්,C,සාමාන්‍ය දැනුම
ඔලිම්පික් වසර කීයකට වරක්ද?,2,3,4,5,C,සාමාන්‍ය දැනුම
පොදු රාජ්‍ය මණ්ඩලීය ක්‍රීඩා සඳහා සහභාගී විය හැක්කේ?,සියලුම රටවල්,බ්‍රිතාන්‍ය යටත් විජිත රටවල්,ඇමරිකාව,ආසියානු රටවල්,B,සාමාන්‍ය දැනුම
කායවර්ධන ක්‍රීඩකයින් තරග කරන්නේ?,Mr. Olympia,Mr. World,Mr. Universe,Mr. Asia,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රසිද්ධම Big Match එක?,Royal-Thomian,Battle of the Maroons,Big Match,Annual Match,A,සාමාන්‍ය දැනුම
'නිල් මහා සටන' පවත්වන්නේ?,කොළඹ රාජකීය හා සාන්ත තෝමස්,ආනන්ද-නාලන්ද,ත්‍රිත්ව-අන්තෝනි,සාන්ත පීතර-සාන්ත ජෝශප්,A,සාමාන්‍ය දැනුම
රග්බි පන්දුව පාස් කළ හැකි දිශාව?,ඕනෑම දිශාවකට,ඉදිරියට,පසුපසට,දකුණට,C,සාමාන්‍ය දැනුම
ටෙනිස් ග්‍රෑන්ඩ් ස්ලෑම් තරගාවලි කීයක් පවතීද?,2,3,4,5,C,සාමාන්‍ය දැනුම
විම්බල්ඩන් තරගාවලිය පවත්වන රට?,ඇමරිකාව,එංගලන්තය,ඕස්ට්‍රේලියාව,ප්‍රංශය,B,සාමාන්‍ය දැනුම
ගොල්ෆ් ක්‍රීඩාවේ අරමුණ?,වේගයෙන් දිවීම,පහළම පහර ගණනින් බෝලය වලට දැමීම,ලකුණු රැස් කිරීම,පන්දුව විසි කිරීම,B,සාමාන්‍ය දැනුම
බිලියඩ්ස් ක්‍රීඩා කරන උපකරණය?,වගුව,පිටිය,වළල්ල,වළලු,A,සාමාන්‍ය දැනුම
මෑතකදී ලෝක මලල ක්‍රීඩා පදක්කම් දිනූ ශ්‍රී ලාංකික ක්‍රීඩිකාව?,සුසන්තිකා ජයසිංහ,තරුෂි කරුණාරත්න,දමයන්ති දර්ශා,ශ්‍රියානි කුලවංශ,B,සාමාන්‍ය දැනුම
F1 රේසිං සඳහා ප්‍රසිද්ධ ක්‍රීඩකයා?,ලුවිස් හැමිල්ටන්,මයිකල් ෂූමාකර්,මයිකල් ජෝර්දාන්,තෝමස් බාක්,A,සාමාන්‍ය දැනුම
මයිකල් ජෝර්දාන් ප්‍රසිද්ධ ක්‍රීඩාව?,පැසපන්දු,පාපන්දු,බොක්සිං,ගොල්ෆ්,A,සාමාන්‍ය දැනුම
මල්ලවපොර ඔලිම්පික් ක්‍රීඩාවක්ද?,ඔව්,නැත,යම් කොන්දේසි සහිතව,පැරණි ක්‍රීඩාවක් පමණි,A,සාමාන්‍ය දැනුම
පිහිනීම ඔලිම්පික් පදක්කම් වැඩිම ගණනක් දිනූ ක්‍රීඩකයා?,මයිකල් පෙල්ප්ස්,උසේන් බෝල්ට්,මයිකල් ජෝර්දාන්,ලුවිස් හැමිල්ටන්,A,සාමාන්‍ය දැනුම
උසේන් බෝල්ට් අයිති රට?,ඇමරිකාව,ජැමෙයිකාව,බ්‍රසීලය,එංගලන්තය,B,සාමාන්‍ය දැනුම
උසේන් බෝල්ට් මීටර් 100 කාලය?,තත්පර 9.58,තත්පර 9.68,තත්පර 9.78,තත්පර 9.88,A,සාමාන්‍ය දැනුම
උස පැනීමේ තාක්ෂණය?,Fosbury Flop,Back flip,Front flip,Jump high,A,සාමාන්‍ය දැනුම
යගුලිය,කවපෙත්ත අයත් ක්‍රීඩා වර්ගය?,මලල ක්‍රීඩා,කණ්ඩායම් ක්‍රීඩා,සටන් කලාව,රේසිං,A,සාමාන්‍ය දැනුම
මැරතන් නම ලැබුණේ?,මැරතන් නගරයේ පණිවිඩකරු සිහි කිරීමට,ක්‍රීඩකයාගේ නම නිසා,කාලය නිසා,රටේ නම නිසා,A,සාමාන්‍ය දැනුම
වොලිබෝල් සොයා ගත්තේ?,විලියම් ජී. මෝර්ගන්,ජේම්ස් නේස්මිත්,පියර් ද කුබර්තින්,මයිකල් ජෝර්දාන්,A,සාමාන්‍ය දැනුම
පැසපන්දු සොයා ගත්තේ?,විලියම් ජී. මෝර්ගන්,ජේම්ස් නේස්මිත්,පියර් ද කුබර්තින්,මයිකල් ජෝර්දාන්,B,සාමාන්‍ය දැනුම
තුන් ඉරියව් ක්‍රීඩකයා යනු?,පන්දුවට පහර දීම හා පන්දු යැවීම කළ හැකි,කඩුලු රකින,නායකත්වය දෙන,පන්දු රකින පමණක්,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා ක්‍රිකට් පාලක මණ්ඩලය?,SLC,ICC,ACC,BCCI,A,සාමාන්‍ය දැනුම
සූරියවැව ක්‍රීඩාංගණය පිහිටියේ?,හම්බන්තොට,මාතර,ගාල්ල,රත්නපුර,A,සාමාන්‍ය දැනුම
දඹුල්ල ක්‍රිකට් ක්‍රීඩාංගණය ඇති දිස්ත්‍රික්කය?,මාතලේ,මහනුවර,කුරුණෑගල,අනුරාධපුර,A,සාමාන්‍ය දැනුම
ලංකාවේ විශාලතම ක්‍රීඩාංගණය?,ආර්. ප්‍රේමදාස,සිංහල ක්‍රීඩා සමාජය,පී. සරා ඕවල්,ගාල්ල ක්‍රීඩාංගණය,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා පිලට 'සංහයෝ' කියන්නේ?,ජාතික කොඩියේ සංකේතය නිසා,වේගය නිසා,නායකයා නිසා,කණ්ඩායමේ ශක්තිය නිසා,A,සාමාන්‍ය දැනුම
SSC හි තේරුම?,සිංහල ක්‍රීඩා සමාජය,ශ්‍රී ලංකා ක්‍රිකට්,පාසල් ක්‍රීඩා සමාජය,සමස්ත ක්‍රීඩා සමාජය,A,සාමාන්‍ය දැනුම
SAFF තරගාවලිය කා සඳහාද?,දකුණු ආසියාව,යුරෝපය,අප්‍රිකාව,ලෝකය,A,සාමාන්‍ය දැනුම
ආසියානු ක්‍රීඩා උළෙල වසර කීයකට වරක්ද?,2,3,4,5,C,සාමාන්‍ය දැනුම
දකුණු ආසියානු ක්‍රීඩා උළෙල?,SAG,ICC,ACC,FIFA,A,සාමාන්‍ය දැනුම
සංගක්කාර ලැබූ ඉහළම ගෞරවය?,MCC සභාපති,නායකත්ව සම්මානය,ලෝක කුසලානය,හොඳම පිතිකරු,A,සාමාන්‍ය දැනුම
දියගම ක්‍රීඩාංගණය කුමක්ද?,මහින්ද රාජපක්ෂ ජාත්‍යන්තර ක්‍රීඩාංගණය,ගාල්ල ක්‍රීඩාංගණය,වෙළගෙදර ක්‍රීඩාංගණය,නුවරඑළිය පිටිය,A,සාමාන්‍ය දැනුම
නුවරඑළිය තුරඟ තරග පවත්වන ස්ථානය?,Race Course,සිංහල පිටිය,ආර්. ප්‍රේමදාස පිටිය,සූරියවැව පිටිය,A,සාමාන්‍ය දැනුම
කැරම් රතු ඉත්තාගේ නම?,රැජින,ඇමති,ගොනා,සෙබලා,A,සාමාන්‍ය දැනුම
දාම් ක්‍රීඩා කරන පුවරුව?,චෙස් පුවරුව,ක්‍රිකට් පිටිය,වොලිබෝල් පිටිය,ටෙනිස් පිටිය,A,සාමාන්‍ය දැනුම
ටයිකොන්ඩෝ ආවේණික රට?,කොරියාව,චීනය,ජපානය,තායිලන්තය,A,සාමාන්‍ය දැනුම
වූෂු පැමිණි රට?,චීනය,ජපානය,කොරියාව,ඉන්දියාව,A,සාමාන්‍ය දැනුම
අංගම්පොර යනු?,පාරම්පරික සටන් කලාව,ක්‍රිකට්,පාපන්දු,ටෙනිස්,A,සාමාන්‍ය දැනුම
අංගම්පොර තහනම් කළේ?,ඉංග්‍රීසීන්,පෘතුගීසීන්,ලන්දේසීන්,ඇමරිකානුවන්,A,සාමාන්‍ය දැනුම
චක් ගුඩු (Gudu) යනු?,ගැමි ක්‍රීඩාවක්,සටන් කලාවක්,වොලිබෝල්,පාපන්දු,A,සාමාන්‍ය දැනුම
පෝර පොල් ගැසීම යනු?,ආගමික ශාන්තිකර්ම ක්‍රීඩාවක්,පාපන්දු,ක්‍රිකට්,රග්බි,A,සාමාන්‍ය දැනුම
එල්ලේ පිත්ත සාදන්නේ?,උණ බම්බු හෝ ලී,ප්ලාස්ටික්,යකඩ,රබර්,A,සාමාන්‍ය දැනුම
ග්‍රීක ඔලිම්පික් උළෙල පැවැත්වූයේ?,සයුස් දෙවියන් උදෙසා,ජනතාව උදෙසා,රජවරුන් උදෙසා,ක්‍රීඩකයින් උදෙසා,A,සාමාන්‍ය දැනුම
ඔලිම්පික් පන්දම දැල්වීම ආරම්භ කරන්නේ?,ග්‍රීසියෙන්,එංගලන්තයෙන්,ඇමරිකාවෙන්,චීනයෙන්,A,සාමාන්‍ය දැනුම
ක්‍රීඩාවකට පෙර ගායනා කරන ගීය?,ජාතික ගීය,ප්‍රසංශා ගීය,ජයග්‍රාහී ගීය,ආගමික ගීය,A,සාමාන්‍ය දැනුම
