question,optionA,optionB,optionC,optionD,answer,category
චීනයේ අගනුවර කුමක්ද?,බීජිං,ෂැංහයි,හොංකොං,ගුවැන්ෂු,A,සාමාන්‍ය දැනුම
රුසියාවේ අගනුවර කුමක්ද?,මොස්කව්,ශාන්ත පීටර්ස්බර්ග්,නොවොසිබිර්ස්ක්,සමාරා,A,සාමාන්‍ය දැනුම
ඕස්ට්‍රේලියාවේ අගනුවර කුමක්ද?,කැන්බරා,සිඩ්නි,මෙල්බර්න්,පර්ත්,A,සාමාන්‍ය දැනුම
ඊජිප්තුවේ අගනුවර කුමක්ද?,කයිරෝ,ඇලෙක්සැන්ඩ්‍රියාව,ගීසා,ලක්සෝර්,A,සාමාන්‍ය දැනුම
පාකිස්ථානයේ අගනුවර කුමක්ද?,ඉස්ලාමාබාද්,කරච්චි,ලාහෝර්,පෙෂාවර්,A,සාමාන්‍ය දැනුම
ලෝකයේ දිගම ගඟ කුමක්ද?,නයිල් ගඟ,ඇමසන් ගඟ,යැංසි ගඟ,මිසිසිපි ගඟ,A,සාමාන්‍ය දැනුම
ලෝකයේ ජලය ධාරිතාවයෙන් විශාලතම ගඟ කුමක්ද?,ඇමසන් ගඟ,නයිල් ගඟ,කොංගෝ ගඟ,ගංගා නම් ගඟ,A,සාමාන්‍ය දැනුම
ලෝකයේ උස්ම කඳු මුදුන කුමක්ද?,එවරස්ට් කන්ද,කේ-2 කන්ද,කැන්චන්ජුන්ගා,අන්නපූර්ණ,A,සාමාන්‍ය දැනුම
එවරස්ට් කන්ද පිහිටා ඇත්තේ කුමන රටේද?,නේපාලය,ඉන්දියාව,භූතානය,පකිස්ථානය,A,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම කාන්තාරය කුමක්ද?,ඇන්ටාක්ටික් කාන්තාරය,සහරා කාන්තාරය,ගෝබි කාන්තාරය,තර් කාන්තාරය,A,සාමාන්‍ය දැනුම
ලෝකයේ උස්ම දියඇල්ල කුමක්ද?,ඒන්ජල් දියඇල්ල,නයගරා දියඇල්ල,වික්ටෝරියා දියඇල්ල,දියලුම දියඇල්ල,A,සාමාන්‍ය දැනුම
අයිෆල් කුළුණ (Eiffel Tower) පිහිටා ඇත්තේ කුමන රටේද?,ප්‍රංශය,ඉතාලිය,ජර්මනිය,ස්පාඤ්ඤය,A,සාමාන්‍ය දැනුම
තාජ් මහල් (Taj Mahal) පිහිටා ඇත්තේ ඉන්දියාවේ කුමන නගරයේද?,ආග්‍රා,දිල්ලි,ජයිපූර්,මුම්බායි,A,සාමාන්‍ය දැනුම
පිරමීඩ සඳහා ප්‍රසිද්ධ රට කුමක්ද?,ඊජිප්තුව,මෙක්සිකෝව,සුඩානය,ග්‍රීසිය,A,සාමාන්‍ය දැනුම
ලෝක සෞඛ්‍ය සංවිධානයේ (WHO) මූලස්ථානය පිහිටා ඇත්තේ කොහේද?,ජිනීවා,නිව්යෝර්ක්,රෝමය,පැරිස්,A,සාමාන්‍ය දැනුම
සාර්ක් (SAARC) සංවිධානයේ මූලස්ථානය පිහිටා ඇත්තේ කොහේද?,කත්මණ්ඩු,කොළඹ,නව දිල්ලි,ඩකා,A,සාමාන්‍ය දැනුම
ලෝක බැංකුවේ (World Bank) මූලස්ථානය පිහිටා ඇත්තේ කොහේද?,වොෂින්ටන් ඩී.සී.,ලන්ඩන්,ටෝකියෝ,බීජිං,A,සාමාන්‍ය දැනුම
යුරෝපීය සංගමයේ (EU) පොදු මුදල් ඒකකය කුමක්ද?,යුරෝ,ඩොලර්,පවුම්,ෆ්‍රෑන්ක්,A,සාමාන්‍ය දැනුම
ජපානයේ මුදල් ඒකකය කුමක්ද?,යෙන්,යුවාන්,වොන්,ඩොලර්,A,සාමාන්‍ය දැනුම
බ්‍රිතාන්‍යයේ මුදල් ඒකකය කුමක්ද?,පවුම් ස්ටර්ලින්,යුරෝ,ඩොලර්,රුපියල,A,සාමාන්‍ය දැනුම
රුසියාවේ මුදල් ඒකකය කුමක්ද?,රූබල්,යුරෝ,ඩොලර්,යෙන්,A,සාමාන්‍ය දැනුම
ඉන්දියාවේ මුදල් ඒකකය කුමක්ද?,ඉන්දීය රුපියල,ඩොලර්,ටකා,රියාල්,A,සාමාන්‍ය දැනුම
ලෝකයේ පළමු ගගනගාමියා කවුද?,යූරි ගගාරින්,නීල් ආම්ස්ට්‍රෝන්ග්,බස් ඕල්ඩ්‍රින්,යූරි මැලෙන්චෙන්කෝ,A,සාමාන්‍ය දැනුම
සඳ මත පා තැබූ පළමු පුද්ගලයා කවුද?,නීල් ආම්ස්ට්‍රෝන්ග්,යූරි ගගාරින්,බස් ඕල්ඩ්‍රින්,මයිකල් කොලින්ස්,A,සාමාන්‍ය දැනුම
ලෝකයේ ප්‍රථම අගමැතිනිය කවුද?,සිරිමාවෝ බණ්ඩාරනායක,ඉන්දිරා ගාන්ධි,මාග්‍රට් තැචර්,බෙනාසීර් භූතෝ,A,සාමාන්‍ය දැනුම
'අප්‍රිකාවේ මුතු ඇටය' ලෙස හඳුන්වන රට කුමක්ද?,උගන්ඩාව,කේන්යාව,නයිජීරියාව,ඊජිප්තුව,A,සාමාන්‍ය දැනුම
'ඉන්දියන් සාගරයේ මුතු ඇටය' ලෙස හඳුන්වන රට කුමක්ද?,ශ්‍රී ලංකාව,මාලදිවයින,මැඩගස්කරය,සීෂෙල්ස්,A,සාමාන්‍ය දැනුම
'හිරු නොබසින අධිරාජ්‍යය' ලෙස හැඳින්වූවේ කුමන රටද?,බ්‍රිතාන්‍ය අධිරාජ්‍යය,රෝම අධිරාජ්‍යය,රුසියානු අධිරාජ්‍යය,මොංගෝලියානු අධිරාජ්‍යය,A,සාමාන්‍ය දැනුම
ඇමරිකාවේ වත්මන් ජනාධිපති නිල නිවස හඳුන්වන්නේ කෙසේද?,ධවල මන්දිරය,කෙම්ලින් මන්දිරය,බකිංහැම් මාලිගය,එලිසී මාලිගය,A,සාමාන්‍ය දැනුම
'මහා ප්‍රාකාරය' (Great Wall) පිහිටා ඇත්තේ කුමන රටේද?,චීනය,ජපානය,ඉන්දියාව,රුසියාව,A,සාමාන්‍ය දැනුම
ලෝකයේ වේගවත්ම ගොඩබිම් සත්වයා කවුද?,චීටා,සිංහයා,කොටියා,අශ්වයා,A,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම සත්වයා කවුද?,නිල් තල්මසා,අලියා,ජිරාෆ්,හිපපොටේමස්,A,සාමාන්‍ය දැනුම
ඔලිම්පික් ධජයේ ඇති වළලු ගණන කීයද?,05,04,06,07,A,සාමාන්‍ය දැනුම
ඔලිම්පික් වළලු 5න් නිරූපණය කරන්නේ මොනවාද?,ලෝකයේ මහාද්වීප 05,ලෝකයේ සාගර 05,ප්‍රධාන ක්‍රීඩා 05,ප්‍රධාන රටවල් 05,A,සාමාන්‍ය දැනුම
නූතන ඔලිම්පික් උළෙලේ පියා ලෙස සැලකෙන්නේ කවුද?,පියරේ ද කුබර්තින්,තෝමස් බැක්,ජුවාන් ඇන්ටෝනියෝ,රොබට් ඩෝවර්,A,සාමාන්‍ය දැනුම
නොබෙල් ත්‍යාගය පිරිනමනු ලබන්නේ කාගේ නමින්ද?,ඇල්ෆ්‍රඩ් නොබෙල්,ඇල්බට් අයින්ස්ටයින්,තෝමස් එඩිසන්,අයිසැක් නිව්ටන්,A,සාමාන්‍ය දැනුම
අන්තර්ජාලයේ (Internet) නිර්මාතෘවරයා ලෙස සැලකෙන්නේ කවුද?,ටිම් බර්නර්ස් ලී,බිල් ගේට්ස්,ස්ටීව් ජොබ්ස්,මාර්ක් සකර්බර්ග්,A,සාමාන්‍ය දැනුම
'ෆේස්බුක්' (Facebook) නිර්මාතෘවරයා කවුද?,මාර්ක් සකර්බර්ග්,එලොන් මස්ක්,ජෙෆ් බේසෝස්,ලැරී පේජ්,A,සාමාන්‍ය දැනුම
මයික්‍රොසොෆ්ට් (Microsoft) ආයතනයේ නිර්මාතෘ කවුද?,බිල් ගේට්ස්,ස්ටීව් ජොබ්ස්,ජැක් මා,මාර්ක් සකර්බර්ග්,A,සාමාන්‍ය දැනුම
ඇපල් (Apple) සමාගමේ සම-නිර්මාතෘවරයා කවුද?,ස්ටීව් ජොබ්ස්,බිල් ගේට්ස්,පෝල් ඇලන්,ලැරී ඉලිසන්,A,සාමාන්ව්‍ය දැනුම
ලෝකයේ වැඩියෙන්ම කතා කරන භාෂාව (මව් භාෂාව ලෙස) කුමක්ද?,මැන්ඩරින් චීන භාෂාව,ඉංග්‍රීසි භාෂාව,ස්පාඤ්ඤ භාෂාව,හින්දි භාෂාව,A,සාමාන්‍ය දැනුම
ලෝක කාන්තා දිනය යෙදෙන්නේ කවදාද?,මාර්තු 08,මැයි 01,ජුනි 05,ඔක්තෝබර් 01,A,සාමාන්‍ය දැනුම
ලෝක පරිසර දිනය යෙදෙන්නේ කවදාද?,ජුනි 05,මාර්තු 22,මැයි 22,ඔක්තෝබර් 16,A,සාමාන්‍ය දැනුම
ලෝක ජල දිනය යෙදෙන්නේ කවදාද?,මාර්තු 22,අප්‍රේල් 22,ජුනි 05,ජනවාරි 01,A,සාමාන්‍ය දැනුම
ලෝක ළමා දිනය (ජාත්‍යන්තරව) සමරන්නේ කුමන මාසයේද?,නොවැම්බර්,ඔක්තෝබර්,සැප්තැම්බර්,දෙසැම්බර්,A,සාමාන්‍ය දැනුම
ජාත්‍යන්තර කම්කරු දිනය කවදාද?,මැයි 01,මාර්තු 08,ජුනි 05,නොවැම්බර් 01,A,සාමාන්‍ය දැනුම
ඇමරිකාවේ පළමු ජනාධිපතිවරයා කවුද?,ජෝර්ජ් වොෂින්ටන්,ඒබ්‍රහම් ලින්කන්,ජෝන් එෆ්. කෙනඩි,තෝමස් ජෙෆර්සන්,A,සාමාන්‍ය දැනුම
දකුණු අප්‍රිකාවේ වර්ණභේදවාදයට එරෙහිව සටන් කළ නායකයා කවුද?,නෙල්සන් මැන්ඩෙලා,මහත්මා ගාන්ධි,මාටින් ලූතර් කින්ග්,ඩෙස්මන්ඩ් ටූටූ,A,සාමාන්‍ය දැනුම
මහත්මා ගාන්ධිතුමා උපන් රට කුමක්ද?,ඉන්දියාව,දකුණු අප්‍රිකාව,එංගලන්තය,නේපාලය,A,සාමාන්‍ය දැනුම
සිංගප්පූරුව දියුණු කළ නායකයා ලෙස සැලකෙන්නේ කවුද?,ලී ක්වාන් යූ,මහාතීර් මොහොමඩ්,සුකර්ණෝ,නෙහ්රු,A,සාමාන්‍ය දැනුම
හිට්ලර් (Hitler) කුමන රටේ පාලකයෙක්ද?,ජර්මනිය,ඉතාලිය,ප්‍රංශය,ඔස්ට්‍රියාව,A,සාමාන්‍ය දැනුම
දෙවන ලෝක යුද්ධය අවසන් වූ වර්ෂය කුමක්ද?,1945,1918,1939,1950,A,සාමාන්‍ය දැනුම
පරමාණු බෝම්බ හෙලන ලද ජපානයේ නගර දෙක මොනවාද?,හිරෝෂිමා සහ නාගසාකි,ටෝකියෝ සහ ඔසාකා,කියෝතෝ සහ කෝබේ,යොකොහාමා සහ සපෝරෝ,A,සාමාන්‍ය දැනුම
'දහසක් වැව් ඇති රට' ලෙස හඳුන්වන්නේ කුමන රටද?,ෆින්ලන්තය,කැනඩාව,නෝර්වේ,ස්විට්සර්ලන්තය,A,සාමාන්‍ය දැනුම
'සුදු අලින්ගේ රට' ලෙස හඳුන්වන්නේ කුමන රටද?,තායිලන්තය,මියන්මාරය,ඉන්දියාව,ශ්‍රී ලංකාව,A,සාමාන්‍ය දැනුම
'කැන්ගරුවන්ගේ දේශය' ලෙස හඳුන්වන්නේ කුමන රටද?,ඕස්ට්‍රේලියාව,නවසීලන්තය,දකුණු අප්‍රිකාව,කැනඩාව,A,සාමාන්‍ය දැනුම
ලෝකයේ සීනි නිෂ්පාදනයෙන් ප්‍රමුඛ රට කුමක්ද? ('ලෝකයේ සීනි කෝප්පය'),බ්‍රසීලය,කියුබාව,ඉන්දියාව,තායිලන්තය,A,සාමාන්‍ය දැනුම
කෝපි නිෂ්පාදනයෙන් ලොව ප්‍රමුඛ රට කුමක්ද?,බ්‍රසීලය,වියට්නාමය,කොලොම්බියාව,ඉතියෝපියාව,A,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම දූපත කුමක්ද?,ග්‍රීන්ලන්තය,මැඩගස්කරය,ශ්‍රී ලංකාව,අයිස්ලන්තය,A,සාමාන්‍ය දැනුම
ලෝකයේ උස්ම ගොඩනැගිල්ල (2024 වන විට) කුමක්ද?,බර්ජ් කලීෆා,ෂැංහයි කුළුණ,ලොට්ටේ වර්ල්ඩ් කුළුණ,එම්පයර් ස්ටේට්,A,සාමාන්‍ය දැනුම
බර්ජ් කලීෆා (Burj Khalifa) පිහිටා ඇත්තේ කුමන රටේද?,එක්සත් අරාබි එමීර් රාජ්‍යය,සෞදි අරාබිය,කටාර්,කුවේට්,A,සාමාන්‍ය දැනුම
පාපන්දු ක්‍රීඩාව (Football) සඳහා වඩාත්ම ප්‍රසිද්ධ දකුණු ඇමරිකානු රට කුමක්ද?,බ්‍රසීලය,ආර්ජන්ටිනාව,චිලී,උරුගුවේ,A,සාමාන්‍ය දැනුම
ක්‍රිකට් ක්‍රීඩාවේ උපත සිදුවූ රට කුමක්ද?,එංගලන්තය,ඕස්ට්‍රේලියාව,ඉන්දියාව,දකුණු අප්‍රිකාව,A,සාමාන්‍ය දැනුම
ලෝකයේ පළමු පුවත්පත මුද්‍රණය කළේ කුමන රටේද?,ජර්මනිය,චීනය,එංගලන්තය,ඇමරිකාව,A,සාමාන්‍ය දැනුම
කඩදාසි සොයාගත්තේ කුමන රටේද?,චීනය,ඊජිප්තුව,ඉන්දියාව,ග්‍රීසිය,A,සාමාන්‍ය දැනුම
ලෝකයේ වැඩිම මුස්ලිම් ජනගහනයක් සිටින රට කුමක්ද?,ඉන්දුනීසියාව,පකිස්ථානය,සෞදි අරාබිය,ඊජිප්තුව,A,සාමාන්‍ය දැනුම
යුරෝපයේ පිහිටි 'රෝමය' කුමන රටේ අගනුවරද?,ඉතාලිය,ප්‍රංශය,ග්‍රීසිය,ස්පාඤ්ඤය,A,සාමාන්‍ය දැනුම
වතිකානු පුරයේ නායකත්වය දරන්නේ කවුද?,පාප් වහන්සේ,රජතුමා,ජනාධිපති,අගමැති,A,සාමාන්‍ය දැනුම
'මැන්ඩරින්' භාෂාව වැඩිපුරම කතා කරන්නේ කුමන රටේද?,චීනය,ජපානය,කොරියාව,වියට්නාමය,A,සාමාන්‍ය දැනුම
පෘථිවියේ සමකය (Equator) හරහා යන ප්‍රධාන මහාද්වීපය කුමක්ද?,අප්‍රිකාව,යුරෝපය,ඕස්ට්‍රේලියාව,ඇන්ටාක්ටිකාව,A,සාමාන්‍ය දැනුම
උත්තර ධ්‍රැවයට අයත් සාගරය කුමක්ද?,ආක්ටික් සාගරය,පැසිෆික් සාගරය,ඉන්දියන් සාගරය,අත්ලාන්තික් සාගරය,A,සාමාන්‍ය දැනුම
දක්ෂිණ ධ්‍රැවය (ඇන්ටාක්ටිකාව) වැසී ඇත්තේ කුමකින්ද?,අයිස් (හිම) වලින්,වැලි වලින්,වනාන්තර වලින්,ජලය වලින්,A,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම වැසි වනාන්තරය කුමක්ද?,ඇමසන් වනාන්තරය,කොංගෝ වනාන්තරය,සිංහරාජ වනාන්තරය,බෝර්නියෝ වනාන්තරය,A,සාමාන්‍ය දැනුම
ඇමසන් වනාන්තරය වැඩි ප්‍රමාණයක් අයත් වන්නේ කුමන රටටද?,බ්‍රසීලයට,පේරු රාජ්‍යයට,කොලොම්බියාවට,වෙනිසියුලාවට,A,සාමාන්‍ය දැනුම
නයගරා දියඇල්ල පිහිටා ඇත්තේ කුමන රටවල් දෙකක දේශසීමාවේ ද?,ඇමරිකාව සහ කැනඩාව,බ්‍රසීලය සහ ආර්ජන්ටිනාව,සිම්බාබ්වේ සහ සැම්බියාව,ඉන්දියාව සහ නේපාලය,A,සාමාන්‍ය දැනුම
ලෝකයේ පිරිසිදුම රටක් ලෙස සැලකෙන 'සිංගප්පූරුව' පිහිටා ඇත්තේ කුමන මහාද්වීපයේද?,ආසියාව,යුරෝපය,ඕස්ට්‍රේලියාව,අප්‍රිකාව,A,සාමාන්‍ය දැනුම
ලෝකයේ භූමි ප්‍රමාණයෙන් දෙවන විශාලතම රට කුමක්ද?,කැනඩාව,රුසියාව,චීනය,ඇමරිකාව,A,සාමාන්‍ය දැනුම
මාලදිවයිනේ අගනුවර කුමක්ද?,මාලේ,කොළඹ,ඩකා,මාලේ,A,සාමාන්‍ය දැනුම
බංග්ලාදේශයේ මුදල් ඒකකය කුමක්ද?,ටකා,රුපියල,රියාල්,ඩොලර්,A,සාමාන්‍ය දැනුම
'රතු කුරුස' (Red Cross) සංවිධානයේ නිර්මාතෘ කවුද?,හෙන්රි ඩූනන්ට්,ෆ්ලෝරන්ස් නයිටිංගේල්,ලුවී පාස්චර්,මව් තෙරේසා,A,සාමාන්‍ය දැනුම
සාම සාධක හමුදාව අයත් වන්නේ කුමන ජාත්‍යන්තර සංවිධානයටද?,එක්සත් ජාතීන්ගේ සංවිධානය (UN),නේටෝ (NATO),සාර්ක් (SAARC),යුරෝපා සංගමය (EU),A,සාමාන්‍ය දැනුම
ඉන්ටර්පෝල් (Interpol) යනු කුමක්ද?,ජාත්‍යන්තර පොලිසිය,අභ්‍යවකාශ ආයතනයක්,පරිසර සංවිධානයක්,බැංකු පද්ධතියක්,A,සාමාන්‍ය දැනුම
නාසා (NASA) ආයතනය අයත් රට කුමක්ද?,ඇමරිකා එක්සත් ජනපදය,රුසියාව,චීනය,ඉන්දියාව,A,සාමාන්‍ය දැනුම
ලෝකයේ පැරණිතම ධජය හිමි රට ලෙස සැලකෙන්නේ කුමක්ද?,ඩෙන්මාර්කය,ජපානය,බ්‍රිතාන්‍යය,ඊජිප්තුව,A,සාමාන්‍ය දැනුම
'හිරු නැගෙන දේශය' (Land of the Rising Sun) ලෙස හඳුන්වන්නේ කුමන රටද?,ජපානය,චීනය,කොරියාව,නවසීලන්තය,A,සාමාන්‍ය දැනුම
