question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ ස්වාධීන මැතිවරණ කොමිෂන් සභාව ස්ථාපිත කළේ කීවන ආණ්ඩුක්‍රම ව්‍යවස්ථා සංශෝධනයෙන්ද?,17,19,20,21,A,සාමාන්‍ය දැනුම
මැතිවරණයක් පැවැත්වීම සඳහා දින නියම කිරීමේ බලය ඇත්තේ කාටද?,ජනාධිපතිට,මැතිවරණ කොමිෂන් සභාවට,අග්‍රාමාත්‍යවරයාට,පාර්ලිමේන්තුවට,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පුරවැසියකුට ජනාධිපතිවරණයට ඉදිරිපත් වීම සඳහා තිබිය යුතු අවම වයස කීයද?,25,30,35,40,B,සාමාන්‍ය දැනුම
පාර්ලිමේන්තුවේ මන්ත්‍රීවරුන්ගේ වරප්‍රසාද ගැන කියැවෙන පනත කුමක්ද?,පාර්ලිමේන්තු මැතිවරණ පනත,පාර්ලිමේන්තු බලතල හා වරප්‍රසාද පනත,ආණ්ඩුක්‍රම ව්‍යවස්ථා පනත,මන්ත්‍රී චර්යා ධර්ම පනත,B,සාමාන්‍ය දැනුම
පරිපාලන අගනුවර වන ශ්‍රී ජයවර්ධනපුර කෝට්ටේ අයත් වන දිස්ත්‍රික්කය කුමක්ද?,ගම්පහ,කළුතර,කොළඹ,කෑගල්ල,C,සාමාන්‍ය දැනුම
ග්‍රාම නිලධාරී කොට්ඨාසයක් අයත් වන ප්‍රාදේශීය ලේකම් කොට්ඨාසය පාලනය කරන්නේ කවුද?,ප්‍රාදේශීය ලේකම්,ප්‍රාදේශීය සභාපති,දිසාපති,ග්‍රාම නිලධාරී,A,සාමාන්‍ය දැනුම
පළාත් පාලන ආයතන වර්ග 3 මොනවාද?,මහ නගර සභා-නගර සභා-ප්‍රාදේශීය සභා,පළාත් සභා-දිස්ත්‍රික් සභා-ග්‍රාම සභා,නගර සභා-ප්‍රාදේශීය සභා-මහජන සභා,දිසාපති කාර්යාල-පළාත් කාර්යාල-පළාත් පාලන කාර්යාල,A,සාමාන්‍ය දැනුම
නගරාධිපතිවරයා (Mayor) පාලනය කරන්නේ කුමන ආයතනයද?,ප්‍රාදේශීය සභාව,නගර සභාව,මහ නගර සභාව,පළාත් සභාව,C,සාමාන්‍ය දැනුම
ප්‍රාදේශීය සභාවක ප්‍රධානියා හඳුන්වන්නේ කෙසේද?,සභාපති,නගරාධිපති,ලේකම්,ප්‍රාදේශීය ලේකම්,A,සාමාන්‍ය දැනුම
සේවක අර්ථසාධක අරමුදල (EPF) ආරම්භ කළ වර්ෂය කුමක්ද?,1950,1958,1960,1970,B,සාමාන්‍ය දැනුම
සේවක භාරකාර අරමුදල (ETF) ආරම්භ කළ වර්ෂය කුමක්ද?,1975,1980,1985,1990,B,සාමාන්‍ය දැනුම
ජනරජයක් (Republic) යනු කුමක්ද?,රජුන් සිටින රටක්,රජුන් නොමැති සහ මහජන නියෝජිතයන් පාලනය කරන රටක්,ප්‍රජාතන්ත්‍රවාදී නොවන රටක්,ඒකාධිපති පාලනයක් ඇති රටක්,B,සාමාන්‍ය දැනුම
ප්‍රජාතන්ත්‍රවාදය (Democracy) යන්නෙහි සරල අදහස කුමක්ද?,ජනතාවගේ-ජනතාව විසින්-ජනතාව සඳහා වන පාලනයක්,රජුන්ගේ පාලනයක්,හමුදා පාලනයක්,කිසිවකු විසින්ම පාලනය නොකරන රටක්,A,සාමාන්‍ය දැනුම
රාජ්‍ය පාලනයේ ප්‍රධාන අංශ 3 (Separation of Powers) මොනවාද?,ව්‍යවස්ථාදායකය-විධායකය-අධිකරණය,පාර්ලිමේන්තුව-ඇමති මණ්ඩලය-ජනාධිපති,අධිකරණය-පොලීසිය-හමුදාව,මධ්‍යම රජය-පළාත් සභා-ප්‍රාදේශීය සභා,A,සාමාන්‍ය දැනුම
පළාත් සභා ක්‍රමය මගින් හඳුන්වා දුන් විශේෂ කාරක සභා ක්‍රමය කුමක්ද?,විධායක කාරක සභා,පාර්ලිමේන්තු කාරක සභා,උපදේශක කාරක සභා,ප්‍රාදේශීය කාරක සභා,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළමු විධායක ජනාධිපතිවරයා කවුද?,ඩී.එස්. සේනානායක,එස්.ඩබ්.ආර්.ඩී. බණ්ඩාරනායක,ජේ.ආර්. ජයවර්ධන,ආර්. ප්‍රේමදාස,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා පාර්ලිමේන්තුවේ කථානායකවරයා (Speaker) තෝරා ගන්නේ කෙසේද?,ජනතාව විසින්,ජනාධිපති විසින්,පාර්ලිමේන්තු මන්ත්‍රීවරුන්ගේ ඡන්දයෙන්,කැබිනට් මණ්ඩලය විසින්,C,සාමාන්‍ය දැනුම
පාර්ලිමේන්තු සභා ගර්භයේ ඇති කථානායකවරයාගේ බලය සංකේතවත් කරන උපකරණය කුමක්ද?,ධජය,සෙංකෝලය,ගවුව,ගණ්ඨාරය,B,සාමාන්‍ය දැනුම
විපක්ෂ නායකවරයා තෝරා ගන්නේ කෙසේද?,ජනාධිපති විසින්,පාර්ලිමේන්තුවේ වැඩිම මන්ත්‍රීවරුන් සිටින විපක්ෂ පක්ෂයෙන්,ජනතාව විසින්,අග්‍රාමාත්‍යවරයා විසින්,B,සාමාන්‍ය දැනුම
ආණ්ඩුක්‍රම ව්‍යවස්ථාවට අනුව ශ්‍රී ලංකාවේ පරමාධිපත්‍ය බලය (Sovereignty) ඇත්තේ කා සතුද?,ජනතාව සතු,ජනාධිපති සතු,පාර්ලිමේන්තුව සතු,රජය සතු,A,සාමාන්‍ය දැනුම
ජනමත විචාරණයක් (Referendum) පවත්වන්නේ කුමක් සඳහාද?,රජයේ නිලධාරීන් පත් කිරීමට,වැදගත් කරුණක් ගැන ජනතාවගේ කැමැත්ත විමසීමට,රටේ නීති සෑදීමට,මැතිවරණ දින නියම කිරීමට,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළමු ජනමත විචාරණය පැවැත්වූ වර්ෂය කුමක්ද?,1978,1980,1982,1985,C,සාමාන්‍ය දැනුම
ද්විත්ව පුරවැසිභාවය (Dual Citizenship) ඇති අයකුට ශ්‍රී ලංකාවේ පාර්ලිමේන්තු මන්ත්‍රීවරයකු විය හැකිද?,ඔව්,නැත,සීමිත කොන්දේසි සහිතව,ප්‍රශ්නයක් නොමැත,B,සාමාන්‍ය දැනුම
ජාත්‍යන්තර අධිකරණය (International Court of Justice) පිහිටා ඇත්තේ කොහේද?,නිව්යෝර්ක්,ලන්ඩන්,ද හේග් (නෙදර්ලන්තය),ජිනීවා,C,සාමාන්‍ය දැනුම
එක්සත් ජාතීන්ගේ සංවිධානයේ (UN) වත්මන් මහලේකම්වරයා කවුද?,කොෆි අනන්,බෑන් කී මූන්,අන්තෝනියෝ ගුටරෙස්,උ තන්ට්,C,සාමාන්‍ය දැනුම
සාර්ක් (SAARC) සංවිධානයේ සාමාජික රටවල් ගණන කීයද?,5,6,7,8,D,සාමාන්‍ය දැනුම
පොදු රාජ්‍ය මණ්ඩලයේ (Commonwealth) මූලස්ථානය පිහිටා ඇත්තේ කොහේද?,නිව්යෝර්ක්,ලන්ඩන්,ජිනීවා,පැරිස්,B,සාමාන්‍ය දැනුම
නොබැඳි ජාතීන්ගේ සංවිධානයේ (NAM) ආරම්භක සමුළුව පැවැත්වූයේ කොහේද?,බැග්ඩෑඩ්,බෙල්ග්‍රේඩ්,කැයිරෝ,කොළඹ,B,සාමාන්‍ය දැනුම
පංච ශීල ප්‍රතිපත්තිය ජාත්‍යන්තර සම්බන්ධතා සඳහා හඳුන්වා දුන්නේ කවුද?,මහත්මා ගාන්ධි,ජවහර්ලාල් නේරු,අටල් බිහාරි වාජ්පායි,නරේන්ද්‍ර මෝදි,B,සාමාන්‍ය දැනුම
ජිනීවා සම්මුතිය (Geneva Convention) වැදගත් වන්නේ කුමන අවස්ථාවකදීද?,වෙළඳාම,යුද්ධයේදී,අධ්‍යාපනය,සෞඛ්‍යය,B,සාමාන්‍ය දැනුම
ජාත්‍යන්තර මානව හිමිකම් දිනය කවදාද?,දෙසැම්බර් 10,ජනවාරි 01,මැයි 01,ඔක්තෝබර් 24,A,සාමාන්‍ය දැනුම
ලෝක කම්කරු දිනය කවදාද?,දෙසැම්බර් 10,මැයි 01,ජනවාරි 01,අගෝස්තු 15,B,සාමාන්‍ය දැනුම
එක්සත් ජාතීන්ගේ සංවිධානයේ නිෂේධ බලය (Veto Power) හිමි රටවල් 5 මොනවාද?,ඇමරිකාව-රුසියාව-චීනය-බ්‍රිතාන්‍යය-ප්‍රංශය,ඇමරිකාව-ඉන්දියාව-චීනය-රුසියාව-ජර්මනිය,ජපානය-ඇමරිකාව-චීනය-රුසියාව-බ්‍රිතාන්‍යය,ප්‍රංශය-ඉතාලිය-චීනය-රුසියාව-ඇමරිකාව,A,සාමාන්‍ය දැනුම
ලෝක බැංකුවේ (World Bank) මූලස්ථානය පිහිටා ඇත්තේ කොහේද?,නිව්යෝර්ක්,වොෂින්ටන් ඩී.සී.,ලන්ඩන්,ජිනීවා,B,සාමාන්‍ය දැනුම
ජාත්‍යන්තර මූල්‍ය අරමුදල (IMF) මගින් සිදු කරන්නේ කුමක්ද?,ණය ලබාදීම සහ උපදෙස් දීම,ගොඩනැගිලි තැනීම,අධ්‍යාපන සහය,ක්‍රීඩා සංවර්ධනය,A,සාමාන්‍ය දැනුම
යුරෝපා සංගමයේ (EU) පොදු මුදල් ඒකකය කුමක්ද?,ඩොලර්,පවුම්,යුවාන්,යුරෝ,D,සාමාන්‍ය දැනුම
රතු කුරුස සංවිධානයේ (Red Cross) නිර්මාතෘවරයා කවුද?,ෆ්ලොරන්ස් නයිටිංගේල්,හෙන්රි ඩුනන්ට්,ඇල්බට් අයින්ස්ටයින්,මදර් තෙරේසා,B,සාමාන්‍ය දැනුම
ලෝකයේ කාන්තාවන්ට ඡන්ද අයිතිය ලබා දුන් පළමු රට කුමක්ද?,ඇමරිකාව,නවසීලන්තය,බ්‍රිතාන්‍යය,ශ්‍රී ලංකාව,B,සාමාන්‍ය දැනුම
මැග්නා කාර්ටා (Magna Carta) ගිවිසුම අත්සන් කළ වර්ෂය කුමක්ද?,1015,1115,1215,1315,C,සාමාන්‍ය දැනුම
ප්‍රංශ විප්ලවයේ ප්‍රධාන පාඨ තුන මොනවාද?,නිදහස-සමානාත්මතාවය-සහෝදරත්වය,සාමය-සතුට-සෞභාග්‍යය,ජනතාව-රට-දෙවියන්,කඩිසරකම-වීරත්වය-අභිමානය,A,සාමාන්‍ය දැනුම
ඇමරිකා එක්සත් ජනපදයේ ව්‍යවස්ථාදායකය (පාර්ලිමේන්තුව) හඳුන්වන නම කුමක්ද?,පාර්ලිමේන්තුව,කොංග්‍රසය,සෙනෙට් සභාව,ඩූමා,B,සාමාන්‍ය දැනුම
ඉන්දියාවේ පාර්ලිමේන්තුව හඳුන්වන නම කුමක්ද?,ලෝක් සභාව,පාර්ලිමේන්තුව,සංසද්,ඩයට්,C,සාමාන්‍ය දැනුම
රුසියාවේ පාර්ලිමේන්තුව හඳුන්වන නම කුමක්ද?,ඩූමා,කොංග්‍රසය,සෙනෙට් සභාව,ඩයට්,A,සාමාන්‍ය දැනුම
ජපානයේ පාර්ලිමේන්තුව හඳුන්වන නම කුමක්ද?,සංසද්,ඩයට්,ඩූමා,කොංග්‍රසය,B,සාමාන්‍ය දැනුම
බ්‍රිතාන්‍ය අගමැතිවරයාගේ නිල නිවස හඳුන්වන්නේ කෙසේද?,ධවල මන්දිරය,10 ඩවුනින් වීදිය,ක්‍රෙම්ලිනය,බකිංහැම් මාලිගය,B,සාමාන්‍ය දැනුම
ඇමරිකානු ජනාධිපතිවරයාගේ නිල නිවස කුමක්ද?,ධවල මන්දිරය,ක්‍රෙම්ලිනය,බකිංහැම් මාලිගය,10 ඩවුනින් වීදිය,A,සාමාන්‍ය දැනුම
රුසියානු ජනාධිපතිවරයාගේ නිල මූලස්ථානය කුමක්ද?,ධවල මන්දිරය,ක්‍රෙම්ලිනය,බකිංහැම් මාලිගය,10 ඩවුනින් වීදිය,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පාර්ලිමේන්තුව පිහිටා ඇති දූපත කුමක්ද?,දූව දූපත,පිරිවෙන් දූපත,පැරණි දූපත,වෙරළ දූපත,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ දැනට ඇති මුළු ප්‍රාදේශීය ලේකම් කොට්ඨාස ගණන ආසන්න වශයෙන් කීයද?,200,331,400,250,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ වැඩිම කාලයක් අගමැති ධූරය දැරුවේ කවුද?,සිරිමාවෝ බණ්ඩාරනායක,ඩී.එස්. සේනානායක,එස්.ඩබ්.ආර්.ඩී. බණ්ඩාරනායක,ජේ.ආර්. ජයවර්ධන,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රථම විධායක ජනාධිපතිවරිය කවුද?,සිරිමාවෝ බණ්ඩාරනායක,චන්ද්‍රිකා බණ්ඩාරනායක කුමාරතුංග,වමලා විජේවර්ධන,ඉන්දීරා ගාන්ධි,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රථම කාන්තා පාර්ලිමේන්තු මන්ත්‍රීවරිය කවුද?,සිරිමාවෝ බණ්ඩාරනායක,ෆ්ලෝරන්ස් සේනානායක,වමලා විජේවර්ධන,චන්ද්‍රිකා කුමාරතුංග,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රථම කාන්තා කැබිනට් ඇමතිවරිය කවුද?,සිරිමාවෝ බණ්ඩාරනායක,වමලා විජේවර්ධන,ෆ්ලෝරන්ස් සේනානායක,චන්ද්‍රිකා කුමාරතුංග,B,සාමාන්‍ය දැනුම
ගැසට් පත්‍රයක් (Gazette) යනු කුමක්ද?,රජයේ නිල නිවේදන ප්‍රකාශයට පත් කරන පත්‍රය,පුවත්පතක්,පොතක්,පාර්ලිමේන්තු සඟරාවක්,A,සාමාන්‍ය දැනුම
අති විශේෂ ගැසට් පත්‍රයක් නිකුත් කරන්නේ ඇයි?,හදිසි නීති හෝ විශේෂ නියෝග වහාම දැනුම් දීමට,සාමාන්‍ය රජයේ පත්කිරීම් වලට,සාමාන්‍ය දින චර්යාවට,පුවත්පත් නිවේදනයකට,A,සාමාන්‍ය දැනුම
පාර්ලිමේන්තුවේ රැස්වීමක් පැවැත්වීම සඳහා සිටිය යුතු අවම මන්ත්‍රීවරුන් ගණන (ගණ පූරණය) කීයද?,10,20,30,50,B,සාමාන්‍ය දැනුම
ආණ්ඩුක්‍රම ව්‍යවස්ථා සභාවේ (Constitutional Council) සභාපතිවරයා කවුද?,ජනාධිපති,අග්‍රාමාත්‍ය,කථානායකවරයා,අගවිනිසුරු,C,සාමාන්‍ය දැනුම
සභානායකවරයා (Leader of the House) යනු කවුද?,පාර්ලිමේන්තුවේ රජයේ කටයුතු මෙහෙයවන අමාත්‍යවරයා,ජනාධිපති,කථානායක,විපක්ෂ නායක,A,සාමාන්‍ය දැනුම
ආණ්ඩු පක්ෂයේ ප්‍රධාන සංවිධායකවරයා (Chief Government Whip) කරන්නේ කුමක්ද?,පාර්ලිමේන්තුවේ ආරක්ෂාව,මන්ත්‍රීවරුන්ගේ පැමිණීම සහ ඡන්දය දීම සම්බන්ධීකරණය කිරීම,රජයේ ප්‍රතිපත්ති සැකසීම,සභා රැස්වීම් පැවැත්වීම,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික නිදහස් දිනය යෙදෙන්නේ කවදාද?,ජනවාරි 04,පෙබරවාරි 04,මාර්තු 04,අප්‍රේල් 04,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික ධජය භාවිතා කිරීමේදී අනුගමනය කළ යුතු නීති මාලාව ඇතුළත් ලේඛනය කුමක්ද?,ජාතික ධජ නීති මාලාව,ආණ්ඩුක්‍රම ව්‍යවස්ථාව,පාර්ලිමේන්තු පනතක්,පොලිස් ආඥා පනත,A,සාමාන්‍ය දැනුම
ජාතික ගීය ගායනා කිරීමේදී සිටිය යුතු ඉරියව්ව කුමක්ද?,සීරුවෙන්,විවේකීව,ඇවිදිමින්,හිඳගෙන,A,සාමාන්‍ය දැනුම
පාර්ලිමේන්තු මන්ත්‍රීවරයකුගේ ධූර කාලය සාමාන්‍යයෙන් වසර කීයද?,4,5,6,3,B,සාමාන්‍ය දැනුම
පාර්ලිමේන්තුව විසුරුවා හැරීමේ බලය ඇත්තේ කාටද?,අග්‍රාමාත්‍යවරයාට,ජනාධිපතිවරයාට,කථානායකවරයාට,අධිකරණයට,B,සාමාන්‍ය දැනුම
හදිසි නීතිය (State of Emergency) පැනවීමේ බලය ඇත්තේ කාටද?,අග්‍රාමාත්‍යවරයාට,ජනාධිපතිවරයාට,පොලිස්පතිට,ආරක්ෂක ලේකම්ට,B,සාමාන්‍ය දැනුම
ඇඳිරි නීතිය (Curfew) පැනවීමේ බලය ඇත්තේ කාටද?,ජනාධිපතිට,පොලිස්පතිට,අග්‍රාමාත්‍යවරයාට,ප්‍රාදේශීය ලේකම්ට,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා මානව හිමිකම් කොමිෂන් සභාව පිහිටුවා ගත්තේ කුමන වර්ෂයේදීද?,1990,1996,2000,2005,B,සාමාන්‍ය දැනුම
අල්ලස් හෝ දූෂණ චෝදනා විමර්ශන කොමිෂන් සභාවේ කාර්යය කුමක්ද?,රජයේ සංවර්ධන කටයුතු,අල්ලස් හෝ දූෂණ විමර්ශනය කිරීම,පාර්ලිමේන්තු රැස්වීම්,මානව හිමිකම් සුරැකීම,B,සාමාන්‍ය දැනුම
'ඔම්බුඩ්ස්මන්' (Ombudsman) හෙවත් පරිපාලන කටයුතු පිළිබඳ පාර්ලිමේන්තු කොමසාරිස්වරයාගේ කාර්යය කුමක්ද?,රජයේ අසාධාරණකම් විභාග කිරීම,පොලිස් පරීක්ෂණ,නීති සම්පාදනය,අයවැය සකස් කිරීම,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා මහ බැංකුවේ අධිපතිවරයා පත් කරන්නේ කවුද?,ජනාධිපති,අග්‍රාමාත්‍ය,පාර්ලිමේන්තුව,අමාත්‍ය මණ්ඩලය,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවට එක්සත් ජාතීන්ගේ සාමාජිකත්වය ලැබුවේ කවදාද?,1948,1950,1955,1960,C,සාමාන්‍ය දැනුම
යුනෙස්කෝ (UNESCO) සංවිධානය වැදගත් වන්නේ කුමක් සඳහාද?,අධ්‍යාපනය-විද්‍යාව-සංස්කෘතිය,යුද්ධය,වෙළඳාම,සෞඛ්‍යය,A,සාමාන්‍ය දැනුම
ලෝක සෞඛ්‍ය සංවිධානය (WHO) අයත් වන්නේ කුමන මේ සංවිධානයටද?,එක්සත් ජාතීන්ගේ සංවිධානයට,ලෝක බැංකුවට,ජාත්‍යන්තර මූල්‍ය අරමුදලට,සාර්ක් සංවිධානයට,A,සාමාන්‍ය දැනුම
'යුනිසෙෆ්' (UNICEF) අරමුදල වෙන් වී ඇත්තේ කා සඳහාද?,ලෝකයේ ළමුන් සඳහා,වැඩිහිටියන් සඳහා,රෝගීන් සඳහා,වෙළඳාම සඳහා,A,සාමාන්‍ය දැනුම
ජාත්‍යන්තර කම්කරු සංවිධානයේ (ILO) මූලස්ථානය කොහේද?,නිව්යෝර්ක්,ලන්ඩන්,ජිනීවා,පැරිස්,C,සාමාන්‍ය දැනුම
'වෙළඳාම පිළිබඳ සාමාන්‍ය ගිවිසුම' (GATT) පසුව පරිවර්තනය වූවේ කුමන සංවිධානයකටද?,WHO,WTO,UN,IMF,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළමු අග්‍රාමාත්‍ය ඩී. එස්. සේනානායක මහතාගේ පක්ෂය කුමක්ද?,එක්සත් ජාතික පක්ෂය,ශ්‍රී ලංකා නිදහස් පක්ෂය,ලංකා සමසමාජ පක්ෂය,කොමියුනිස්ට් පක්ෂය,A,සාමාන්‍ය දැනුම
1956 දී සිංහල භාෂාව රාජ්‍ය භාෂාව බවට පත් කළ අගමැතිවරයා කවුද?,ඩී.එස්. සේනානායක,එස්.ඩබ්.ආර්.ඩී. බණ්ඩාරනායක,සිරිමාවෝ බණ්ඩාරනායක,ජේ.ආර්. ජයවර්ධන,B,සාමාන්‍ය දැනුම
