question,optionA,optionB,optionC,optionD,answer,category
"කිසියම් කර්මාන්තශාලාවක සේවකයින් 5 දෙනෙකුට වැඩක් නිම කිරීමට දින 10ක් ගතවේ නම්, සේවකයින් 10 දෙනෙකුට එය නිම කිරීමට ගතවන දින කීයද?",5,20,15,2,A,බුද්ධි ඵලය
"වර්ගඵලය 100ක් වන වර්ගයක අතුරු විකර්ණයේ දිග කොපමණද?",10,14.14,12,15,B,බුද්ධි ඵලය
"සියලුම මිනිසුන් මරණයට පත්වේ. සොක්‍රටීස් මිනිසෙකි. එමනිසා?",සොක්‍රටීස් අමරණීයයි,සොක්‍රටීස් මරණයට පත්වේ,සොක්‍රටීස් මිනිසෙක් නොවේ,ඉහත කිසිවක් නොවේ,B,බුද්ධි ඵලය
"3^3 ගණනය කරන්න.",9,27,81,6,B,බුද්ධි ඵලය
"එක් පවුලක සහෝදරයන් 4 දෙනෙකි. සෑම සහෝදරයෙකුටම සහෝදරියක් සිටී නම් මුළු දරුවන් ගණන කීයද?",5,6,8,4,A,බුද්ධි ඵලය
"පහත මාලාවේ අතුරුදහන් අංකය කුමක්ද: 100, 81, 64, 49, ?",36,25,42,30,A,බුද්ධි ඵලය
"අර්ධ වෘත්තයක කෝණය කොපමණද?",90,180,360,45,B,බුද්ධි ඵලය
"මෝටර් රථයක් පැයට කි.මී 80ක වේගයෙන් ධාවනය වේ. එයට කි.මී 200ක් යාමට ගතවන කාලය කොපමණද?",2h,2.5h,3h,1.5h,B,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ වැරදි අංකය කුමක්ද: 5, 10, 20, 35, 50",10,20,35,50,C,බුද්ධි ඵලය
"එක් කණ්ඩායමක ගැහැණු ළමුන් සංඛ්‍යාව පිරිමි ළමුන් මෙන් දෙගුණයකි. මුළු සංඛ්‍යාව 30ක් නම් ගැහැණු ළමුන් කීයද?",10,15,20,25,C,බුද්ධි ඵලය
"එකම වේගයෙන් වැඩ කරන පුද්ගලයින් 3 දෙනෙකුට කාර්යයක් කිරීමට මිනිත්තු 30ක් ගතවේ නම්, පුද්ගලයින් 9 දෙනෙකුට එය කිරීමට කොපමණ කාලයක් ගතවේද?",90,10,20,5,B,බුද්ධි ඵලය
"සෘජුකෝණාස්‍රයක දිග 10cm සහ පළල 5cm නම් වර්ගඵලය කීයද?",15,50,30,25,B,බුද්ධි ඵලය
"පහත මාලාවේ අතුරුදහන් අංකය කුමක්ද: 1, 8, 27, 64, ?",81,100,125,144,C,බුද්ධි ඵලය
"කණ්ඩායමක සිටින අයට අතට අත දීමක් සිදු කළ විට, මුළු අතට අත දීම් සංඛ්‍යාව වැඩිවන ආකාරය කුමන ආකාරයේ ශ්‍රේණියක්ද?",අංක ගණිත,ජ්‍යාමිතික,අනුක්‍රමික,ඝන,A,බුද්ධි ඵලය
"පැය කටුව සහ මිනිත්තු කටුව අතර කෝණය උදෑසන 9ට කොපමණද?",90,180,0,45,A,බුද්ධි ඵලය
"කණ්ඩායමක 60%ක් කාන්තාවන්ය. 400ක් සිටින කණ්ඩායමක සිටින පිරිමින් ගණන කීයද?",240,160,200,100,B,බුද්ධි ඵලය
