question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ ප්‍රධාන රිදී තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"රත්නපුර","කෑගල්ල","මාතලේ","මොනරාගල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ග්‍රැෆයිට් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"කෑගල්ල","රත්නපුර","මාතලේ","කොළඹ",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන අපටයිට් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"පුත්තලම්","හම්බන්තොට","කොළඹ","ගාල්ල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ලිමොනයිට් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"පුත්තලම්","හම්බන්තොට","කොළඹ","ගාල්ල",A,භූගෝල විද්‍යාව
2 + 2 = ?,"3","4","5","6",B,ගණිතය
5 × 5 = ?,"20","25","30","35",B,ගණිතය
10 ÷ 2 = ?,"3","4","5","6",C,ගණිතය
100 - 25 = ?,"65","70","75","80",C,ගණිතය
3² = ?,"6","9","12","15",B,ගණිතය
√16 = ?,"2","3","4","5",C,ගණිතය
2³ = ?,"4","6","8","10",C,ගණිතය
1/2 + 1/2 = ?,"1/4","1","2/4","2",B,ගණිතය
10% of 100 = ?,"5","10","15","20",B,ගණිතය
π (පයි) හි ආසන්න වටිනාකම කුමක්ද?,"2.14","3.14","4.14","5.14",B,ගණිතය
ජලයේ රසායනික සූත්රය කුමක්ද?,"H2O","CO2","O2","NaCl",A,විද්‍යාව
අඟහරු ග්‍රහයාට උපග්‍රහයන් කීයක් තිබේද?,"0","1","2","3",C,විද්‍යාව
පෘථිවියේ වායුගෝලයේ ඔක්සිජන් ප්‍රතිශතය කීයද?,"21%","31%","41%","51%",A,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ pH අගය කීයද?,"6.5-7.0","7.35-7.45","8.0-8.5","9.0-9.5",B,විද්‍යාව
මිනිස් ශරීරයේ ඇති අස්ථි ගණන ආසන්න වශයෙන් කීයද?,"106","206","306","406",B,විද්‍යාව
මිනිස් හෘදයේ කුටීර ගණන කීයද?,"2","3","4","5",C,විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ආගම් කීයක්ද?,"2","3","4","5",C,සංස්කෘතිය
ශ්‍රී ලංකාවේ ප්‍රධාන භාෂා කීයක්ද?,"2","3","4","5",A,භාෂාව
ශ්‍රී ලංකාවේ නිල භාෂා කීයක්ද?,"2","3","4","5",A,භාෂාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජනවාර්ගික කණ්ඩායම් කීයක්ද?,"2","3","4","5",C,සංස්කෘතිය
ශ්‍රී ලංකාවේ ප්‍රධාන පළාත් කීයක්ද?,"7","8","9","10",C,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන දිස්ත්‍රික්ක කීයක්ද?,"20","22","24","25",D,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන නගර සභා කීයක්ද?,"18","24","30","36",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ප්‍රාදේශීය සභා කීයක්ද?,"331","335","340","345",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික උද්‍යාන කීයක්ද?,"22","26","30","34",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන කීයක්ද?,"4","6","8","10",A,භූගෝල විද්‍යාව
පෘථිවියේ විශාලතම මහාද්වීපය කුමක්ද?,"ආසියාව","අප්‍රිකාව","උතුරු ඇමරිකාව","දකුණු ඇමරිකාව",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ දිගම ගංගාව කුමක්ද?,"කැලණි ගංගාව","මහවැලි ගංගාව","වලවේ ගංගාව","කළු ගංගාව",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන වරාය කීයක්ද?,"3","4","5","6",C,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ගුවන්තොටුපළ කීයක්ද?,"1","2","3","4",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික විශ්වවිද්‍යාල කීයක්ද?,"15","17","20","22",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ තාක්ෂණ විශ්වවිද්‍යාල කීයක්ද?,"8","9","10","11",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ වෛද්‍ය විශ්වවිද්‍යාල කීයක්ද?,"5","6","7","8",B,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ අධ්‍යාපන විශ්වවිද්‍යාල කීයක්ද?,"9","10","11","12",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ විද්‍යාල කීයක්ද?,"9,000+","10,000+","11,000+","12,000+",B,අධ්‍යාපනය
15 + 25 = ?,"35","40","45","50",B,ගණිතය
20 × 3 = ?,"50","60","70","80",B,ගණිතය
50 ÷ 5 = ?,"8","9","10","11",C,ගණිතය
100 - 35 = ?,"55","60","65","70",C,ගණිතය
4² = ?,"12","14","16","18",C,ගණිතය
√25 = ?,"3","4","5","6",C,ගණිතය
3³ = ?,"18","21","24","27",D,ගණිතය
1/3 + 1/3 = ?,"1/6","2/3","3/6","1",B,ගණිතය
20% of 200 = ?,"30","40","50","60",B,ගණිතය
5 × 6 = ?,"25","30","35","40",B,ගණිතය
12 + 18 = ?,"28","30","32","34",B,ගණිතය
7 × 8 = ?,"48","54","56","64",C,ගණිතය
36 ÷ 6 = ?,"5","6","7","8",B,ගණිතය
45 - 18 = ?,"25","27","29","31",B,ගණිතය
6² = ?,"30","32","34","36",D,ගණිතය
√36 = ?,"4","5","6","7",C,ගණිතය
4³ = ?,"48","56","64","72",C,ගණිතය
2/5 + 3/5 = ?,"4/5","1","6/5","5/5",B,ගණිතය
15% of 300 = ?,"40","45","50","55",B,ගණිතය
8 × 9 = ?,"64","70","72","80",C,ගණිතය
කාබන් ඩයොක්සයිඩ් හි රසායනික සූත්රය කුමක්ද?,"CO","CO2","C2O","CO3",B,විද්‍යාව
ඔක්සිජන් හි රසායනික සූත්රය කුමක්ද?,"O","O2","O3","O4",B,විද්‍යාව
නයිට්රජන් හි රසායනික සූත්රය කුමක්ද?,"N","N2","N3","N4",B,විද්‍යාව
හයිඩ්‍රජන් හි රසායනික සූත්රය කුමක්ද?,"H","H2","H3","H4",B,විද්‍යාව
ලුණු හි රසායනික සූත්රය කුමක්ද?,"NaCl","Na2Cl","NaCl2","Na2Cl2",A,විද්‍යාව
සීනි හි රසායනික සූත්රය කුමක්ද?,"C6H12O6","C12H22O11","C6H6O6","C12H12O12",B,විද්‍යාව
ඇල්කොහොල් හි රසායනික සූත්රය කුමක්ද?,"C2H5OH","C2H6O","CH3OH","C3H7OH",A,විද්‍යාව
ඇමෝනියා හි රසායනික සූත්රය කුමක්ද?,"NH2","NH3","NH4","N2H4",B,විද්‍යාව
සල්ෆියුරික් අම්ලය හි රසායනික සූත්රය කුමක්ද?,"H2SO3","H2SO4","H3SO4","HSO4",B,විද්‍යාව
හයිඩ්‍රොක්ලොරික් අම්ලය හි රසායනික සූත්රය කුමක්ද?,"HCl","H2Cl","HCl2","H3Cl",A,විද්‍යාව
පෘථිවියේ වායුගෝලයේ නයිට්රජන් ප්‍රතිශතය කීයද?,"68%","78%","88%","98%",B,විද්‍යාව
පෘථිවියේ වායුගෝලයේ කාබන් ඩයොක්සයිඩ් ප්‍රතිශතය කීයද?,"0.03%","0.04%","0.05%","0.06%",B,විද්‍යාව
පෘථිවියේ වායුගෝලයේ ආගන් ප්‍රතිශතය කීයද?,"0.93%","0.94%","0.95%","0.96%",A,විද්‍යාව
පෘථිවියේ වායුගෝලයේ ජල වාෂ්ප ප්‍රතිශතය කීයද?,"0-4%","0-5%","0-6%","0-7%",A,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ රතු රුධිරාණු ප්‍රතිශතය කීයද?,"40-45%","45-50%","50-55%","55-60%",B,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ සුදු රුධිරාණු ප්‍රතිශතය කීයද?,"0.5-1%","1-2%","2-3%","3-4%",A,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ ප්ලාස්මා ප්‍රතිශතය කීයද?,"50-55%","55-60%","60-65%","65-70%",B,විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ආගම් 4 ක් නම් කුමක්ද?,"බෞද්ධ, හින්දු, ක්‍රිස්තියානි, ඉස්ලාම්","බෞද්ධ, හින්දු, ක්‍රිස්තියානි, යුදෙව්","බෞද්ධ, හින්දු, ක්‍රිස්තියානි, සික්","බෞද්ධ, හින්දු, ක්‍රිස්තියානි, ජෛන",A,සංස්කෘතිය
ශ්‍රී ලංකාවේ ප්‍රධාන භාෂා 2 ක් නම් කුමක්ද?,"සිංහල, දමිළ","සිංහල, ඉංග්‍රීසි","දමිළ, ඉංග්‍රීසි","සිංහල, අරාබි",A,භාෂාව
ශ්‍රී ලංකාවේ නිල භාෂා 2 ක් නම් කුමක්ද?,"සිංහල, දමිළ","සිංහල, ඉංග්‍රීසි","දමිළ, ඉංග්‍රීසි","සිංහල, අරාබි",A,භාෂාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජනවාර්ගික කණ්ඩායම් 4 ක් නම් කුමක්ද?,"සිංහල, දමිළ, මුස්ලිම්, බර්ගර්","සිංහල, දමිළ, මුස්ලිම්, මැලේ","සිංහල, දමිළ, මුස්ලිම්, වෙද්ද","සිංහල, දමිළ, මුස්ලිම්, චීන",A,සංස්කෘතිය
ශ්‍රී ලංකාවේ ප්‍රධාන පළාත් 9 ක් නම් කුමක්ද?,"බස්නාහිර, මධ්‍යම, දකුණු, උතුරු, නැගෙනහිර, වයඹ, උතුරු මධ්‍යම, ඌව, සබරගමුව","බස්නාහිර, මධ්‍යම, දකුණු, උතුරු, නැගෙනහිර, වයඹ, උතුරු මධ්‍යම, ඌව, නැගෙනහිර","බස්නාහිර, මධ්‍යම, දකුණු, උතුරු, නැගෙනහිර, වයඹ, උතුරු මධ්‍යම, ඌව, වයඹ","බස්නාහිර, මධ්‍යම, දකුණු, උතුරු, නැගෙනහිර, වයඹ, උතුරු මධ්‍යම, ඌව, දකුණු",A,භූගෝල විද්‍යාව
අනුරාධපුර රාජධානියේ පළමු රජතුමා කවුද?,"පණ්ඩුකාභය","දුටුගැමුණු","වලගම්බා","පරාක්‍රමබාහු",A,ඉතිහාසය
කෝට්ටේ රාජධානියේ පළමු රජතුමා කවුද?,"පරාක්‍රමබාහු VI","භුවනෙකබාහු VI","විජයබාහු VII","රාජසිංහ I",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු රජයේ අගමැතිවරයා කවුද?,"ඩී.එස්.සේනානායක","එස්.ඩබ්ලිව්.ආර්.ඩී.බණ්ඩාරනායක","ජෝන් කොතලාවල","සිරිමාවෝ බණ්ඩාරනායක",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු ජනාධිපතිවරයා කවුද?,"ජේ.ආර්.ජයවර්ධන","ඩී.බී.විජේතුංග","චන්ද්‍රිකා කුමාරතුංග","මහින්ද රාජපක්ෂ",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු කාන්තා අගමැතිවරිය කවුද?,"සිරිමාවෝ බණ්ඩාරනායක","චන්ද්‍රිකා කුමාරතුංග","රාජිනී වික්‍රමසිංහ","නිමල් සිරිපාල ද සිල්වා",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු කාන්තා ජනාධිපතිවරිය කවුද?,"චන්ද්‍රිකා කුමාරතුංග","සිරිමාවෝ බණ්ඩාරනායක","රාජිනී වික්‍රමසිංහ","නිමල් සිරිපාල ද සිල්වා",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වා දුන්නේ කවදාද?,"1948","1972","1978","1982",B,ඉතිහාසය
ශ්‍රී ලංකාවේ දෙවන ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වා දුන්නේ කවදාද?,"1948","1972","1978","1982",C,ඉතිහාසය
ශ්‍රී ලංකාවේ තෙවන ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වා දුන්නේ කවදාද?,"1948","1972","1978","1982",D,ඉතිහාසය
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික උද්‍යාන 22 ක් නම් කුමක්ද?,"යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය","යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය","යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය","යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන 4 ක් නම් කුමක්ද?,"යාල, විල්පත්තු, උඩවලව, බුන්දල","යාල, විල්පත්තු, උඩවලව, කුමන","යාල, විල්පත්තු, උඩවලව, ගල්ඔය","යාල, විල්පත්තු, උඩවලව, ලහුගල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන 4 ක් නම් කුමක්ද?,"යාල, විල්පත්තු, උඩවලව, බුන්දල","යාල, විල්පත්තු, උඩවලව, කුමන","යාල, විල්පත්තු, උඩවලව, ගල්ඔය","යාල, විල්පත්තු, උඩවලව, ලහුගල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන 4 ක් නම් කුමක්ද?,"යාල, විල්පත්තු, උඩවලව, බුන්දල","යාල, විල්පත්තු, උඩවලව, කුමන","යාල, විල්පත්තු, උඩවලව, ගල්ඔය","යාල, විල්පත්තු, උඩවලව, ලහුගල",A,භූගෝල විද්‍යාව
9 × 11 = ?,"95","99","101","105",B,ගණිතය
13 + 17 = ?,"28","30","32","34",B,ගණිතය
144 ÷ 12 = ?,"10","11","12","13",C,ගණිතය
25² = ?,"600","625","650","675",B,ගණිතය
√49 = ?,"5","6","7","8",C,ගණිතය
5³ = ?,"100","115","120","125",D,ගණිතය
30% of 150 = ?,"40","45","50","55",B,ගණිතය
1/4 + 3/4 = ?,"1","2","3/4","4/4",A,ගණිතය
ශ්‍රී ලංකාවේ ප්‍රධාන වරාය 5 ක් නම් කුමක්ද?,"කොළඹ, ගාල්ල, ත්‍රිකුණාමලය, කන්කසන්තුරෙයි, හම්බන්තොට","කොළඹ, ගාල්ල, ත්‍රිකුණාමලය, කන්කසන්තුරෙයි, පුත්තලම්","කොළඹ, ගාල්ල, ත්‍රිකුණාමලය, කන්කසන්තුරෙයි, මන්නාරම්","කොළඹ, ගාල්ල, ත්‍රිකුණාමලය, කන්කසන්තුරෙයි, ජaffන",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ගුවන්තොටුපළ 2 ක් නම් කුමක්ද?,"බණ්ඩාරනායක, මත්තල","බණ්ඩාරනායක, කතුනායක","බණ්ඩාරනායක, රත්මලාන","බණ්ඩාරනායක, ගාල්ල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික විශ්වවිද්‍යාල 15 ක් නම් කුමක්ද?,"කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, වඩුකොඩ, සබරගමුව, ඌව, වයඹ, රුහුණු, උතුරු, නැගෙනහිර","කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, වඩුකොඩ, සබරගමුව, ඌව, වයඹ, රුහුණු, උතුරු, නැගෙනහිර","කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, වඩුකොඩ, සබරගමුව, ඌව, වයඹ, රුහුණු, උතුරු, නැගෙනහිර","කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, වඩුකොඩ, සබරගමුව, ඌව, වයඹ, රුහුණු, උතුරු, නැගෙනහිර",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ තාක්ෂණ විශ්වවිද්‍යාල 8 ක් නම් කුමක්ද?,"මොරටුව, කැලණිය, රුහුණු, වයඹ, වඩුකොඩ, උතුරු, නැගෙනහිර, දකුණු","මොරටුව, කැලණිය, රුහුණු, වයඹ, වඩුකොඩ, උතුරු, නැගෙනහිර, මධ්‍යම","මොරටුව, කැලණිය, රුහුණු, වයඹ, වඩුකොඩ, උතුරු, නැගෙනහිර, බස්නාහිර","මොරටුව, කැලණිය, රුහුණු, වයඹ, වඩුකොඩ, උතුරු, නැගෙනහිර, සබරගමුව",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ වෛද්‍ය විශ්වවිද්‍යාල 6 ක් නම් කුමක්ද?,"කොළඹ, පේරාදෙණිය, කැලණිය, රුහුණු, ජaffන, කැලණිය","කොළඹ, පේරාදෙණිය, කැලණිය, රුහුණු, ජaffන, රාජරත","කොළඹ, පේරාදෙණිය, කැලණිය, රුහුණු, ජaffන, වයඹ","කොළඹ, පේරාදෙණිය, කැලණිය, රුහුණු, ජaffන, වඩුකොඩ",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ අධ්‍යාපන විශ්වවිද්‍යාල 9 ක් නම් කුමක්ද?,"කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, වඩුකොඩ","කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, සබරගමුව","කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, ඌව","කොළඹ, පේරාදෙණිය, කැලණිය, ශ්‍රී ජයවර්ධනපුර, රුහුණු, ජaffන, රාජරත, වයඹ, උතුරු",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ විද්‍යාල 10,000+ ක් නම් කුමක්ද?,"කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, වවුනියා","කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, මඩකලපුව","කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, අම්පාර","කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, ත්‍රිකුණාමලය",A,අධ්‍යාපනය
ශ්‍රී ලංකාවේ ප්‍රධාන රජයේ පාසල් 10,000+ ක් නම් කුමක්ද?,"කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, වවුනියා","කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, මඩකලපුව","කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, අම්පාර","කොළඹ, ගම්පහ, කළුතර, මහනුවර, නුවරඑළිය, ගාල්ල, මාතර, හම්බන්තොට, ජaffන, ත්‍රිකුණාමලය",A,අධ්‍යාපනය
11 × 12 = ?,"128","130","132","134",C,ගණිතය
14 + 16 = ?,"28","30","32","34",B,ගණිතය
81 ÷ 9 = ?,"7","8","9","10",C,ගණිතය
200 - 75 = ?,"115","120","125","130",C,ගණිතය
7² = ?,"45","47","49","51",C,ගණිතය
√64 = ?,"6","7","8","9",C,ගණිතය
6³ = ?,"200","210","216","220",C,ගණිතය
25% of 80 = ?,"18","20","22","24",B,ගණිතය
3/7 + 4/7 = ?,"6/7","1","8/7","7/7",B,ගණිතය
16 × 4 = ?,"60","62","64","66",C,ගණිතය
