question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ ප්‍රධාන රිදී තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"රත්නපුර","කෑගල්ල","මාතලේ","මොනරාගල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ග්‍රැෆයිට් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"කෑගල්ල","රත්නපුර","මාතලේ","කොළඹ",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන අපටයිට් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"පුත්තලම්","හම්බන්තොට","කොළඹ","ගාල්ල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ලිමොනයිට් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"පුත්තලම්","හම්බන්තොට","කොළඹ","ගාල්ල",A,භූගෝල විද්‍යාව
2 + 2 = ?,"3","4","5","6",B,ගණිතය
5 × 5 = ?,"20","25","30","35",B,ගණිතය
10 ÷ 2 = ?,"3","4","5","6",C,ගණිතය
100 - 25 = ?,"65","70","75","80",C,ගණිතය
3² = ?,"6","9","12","15",B,ගණිතය
√16 = ?,"2","3","4","5",C,ගණිතය
2³ = ?,"4","6","8","10",C,ගණිතය
1/2 + 1/2 = ?,"1/4","1","2/4","2",B,ගණිතය
10% of 100 = ?,"5","10","15","20",B,ගණිතය
π (පයි) හි ආසන්න වටිනාකම කුමක්ද?,"2.14","3.14","4.14","5.14",B,ගණිතය
ජලයේ රසායනික සූත්රය කුමක්ද?,"H2O","CO2","O2","NaCl",A,විද්‍යාව
අඟහරු ග්‍රහයාට උපග්‍රහයන් කීයක් තිබේද?,"0","1","2","3",C,විද්‍යාව
පෘථිවියේ වායුගෝලයේ ඔක්සිජන් ප්‍රතිශතය කීයද?,"21%","31%","41%","51%",A,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ pH අගය කීයද?,"6.5-7.0","7.35-7.45","8.0-8.5","9.0-9.5",B,විද්‍යාව
මිනිස් ශරීරයේ ඇති අස්ථි ගණන ආසන්න වශයෙන් කීයද?,"106","206","306","406",B,විද්‍යාව
මිනිස් හෘදයේ කුටීර ගණන කීයද?,"2","3","4","5",C,විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ආගම් කීයක්ද?,"2","3","4","5",C,සංස්කෘතිය
ශ්‍රී ලංකාවේ ප්‍රධාන භාෂා කීයක්ද?,"2","3","4","5",A,භාෂාව
ශ්‍රී ලංකාවේ නිල භාෂා කීයක්ද?,"2","3","4","5",A,භාෂාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජනවාර්ගික කණ්ඩායම් කීයක්ද?,"2","3","4","5",C,සංස්කෘතිය
ශ්‍රී ලංකාවේ ප්‍රධාන පළාත් කීයක්ද?,"7","8","9","10",C,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන දිස්ත්‍රික්ක කීයක්ද?,"20","22","24","25",D,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන නගර සභා කීයක්ද?,"18","24","30","36",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ප්‍රාදේශීය සභා කීයක්ද?,"331","335","340","345",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික උද්‍යාන කීයක්ද?,"22","26","30","34",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන කීයක්ද?,"4","6","8","10",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන කීයක්ද?,"4","6","8","10",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන කීයක්ද?,"4","6","8","10",A,භූගෝල විද්‍යාව
