question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ සාම්ප්‍රදායික කර්මාන්ත දියුණු කිරීමට ඉදිරිපත් වූ රට?,ඉන්දියාව,චීනය,දකුණු කොරියාව,ජපානය,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා සංචාරක ව්‍යාපාරය පිළිබඳ සාවද්‍ය ප්‍රකාශය?,සියයට සියයක්ම පෞද්ගලික අංශයට අයත් වීම,සංචාරක ප්‍රතිපත්තිය රජයේ කාර්යයක් වීම,"අපේක්ෂිත සංචාරකයින් 950,000ක් වීම",මැදපෙරදිගින් පැමිණීම,A,සාමාන්‍ය දැනුම
ජාතික අධ්‍යාපන කොමිසමේ ප්‍රථම අරමුණ ඉටුකරන ක්‍රියාමාර්ගය?,අන්‍යෝන්‍ය ඉතිහාසය,බහුසංස්කෘතික අධ්‍යාපනය,සහජීවනය පිළිබඳ අධ්‍යාපනය,සිරිත් විරිත් පිළිබඳ අධ්‍යාපනය,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පරිගණක සාක්ෂරතාවය?,25%,30%,35%,40%,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පිහිටි ලෝක උරුම ස්ථාන වැඩිම සංඛ්‍යාවක් සහිත පේළිය?,"අනුරාධපුරය, පොලොන්නරුව, දඹුල්ල, ගාල්ල, මහනුවර, සීගිරිය","අනුරාධපුරය, පොලොන්නරුව, දඹුල්ල, මහනුවර, තිස්සමහාරාමය, සීගිරිය","අනුරාධපුරය, පොලොන්නරුව, සීගිරිය, දඹුල්ල, ගාල්ල, සිතුල්පව්ව","අනුරාධපුරය, පොලොන්නරුව, සීගිරිය, දඹුල්ල, මහනුවර, අලුවිහාරේ",A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රථම කම්කරු දිනය පැවැත්වූ වර්ෂය?,1933,1948,1956,1978,A,සාමාන්‍ය දැනුම
නොගැළපෙන යුගලය?,ඊ. ඩබ්ලිව්. පෙරේරා - නාට්‍ය,පීටර් පිල්ලේ - අධ්‍යාපනය,පෙරී සුන්දරම් - කම්කරු ව්‍යාපාරය,ජෙෆ්රි බාවා - ගෘහ නිර්මාණ,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා රුපියල් අඩුම ලැබෙන මැදපෙරදිග මුදල් ඒකකය?,කුවේට් ඩිනාර්,බහරේන් ඩිනාර්,කටාර් රියාල්,ඕමාන් රියාල්,C,සාමාන්‍ය දැනුම
සෝයා බෝංචි වගාව ආරම්භ කළ පළාත?,වයඹ,උතුරු මැද,ඌව,දකුණු,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව 'සෙරෙන්ඩිබ්' නමින් හැඳින්වූයේ?,ග්‍රීකයන්,රෝමවරුන්,අරාබීන්,පෘතුගීසීන්,C,සාමාන්‍ය දැනුම
ඉන්දියානු අනන්‍යතාවය හැඩගැස්වීමට ඉවහල් වූ නායකයින්?,"ගාන්ධි, නේරු, තාගෝර්, අම්බෙඩ්කාර්","ගාන්ධි, නේරු, නාරායන්, ප්‍රසාද්","ගාන්ධි, නේරු, තාගෝර්, භාවේ","ගාන්ධි, නේරු, තාගෝර්, කබීර්",A,සාමාන්‍ය දැනුම
තහිර් චතුරස්‍රය (Tahir Square) පිහිටියේ?,ඊජිප්තුවේ,චීනයේ,දකුණු කොරියාවේ,ජපානයේ,A,සාමාන්‍ය දැනුම
ඉන්දියාවේ තොරතුරු තාක්ෂණ නුවර?,නවදිල්ලිය,බැංගලෝරය,මුම්බායි,චෙන්නායි,B,සාමාන්‍ය දැනුම
මෑතකදී න්‍යෂ්ටික සබ්මැරීනයක් හිමිකරගත් රට?,ප්‍රංශය,රුසියාව,චීනය,ඉන්දියාව,D,සාමාන්‍ය දැනුම
අප්‍රිකානු රටවලට වැඩියෙන්ම ආධාර ලබාදුන් ආසියානු රට?,ඉන්දියාව,චීනය,සිංගප්පූරුව,මලයාසියාව,B,සාමාන්‍ය දැනුම
ලෝකයේ ජනගහනය වැඩිම නුවර?,ටෝකියෝ,නිව්යෝක්,ජිනීවා,ලන්ඩන්,A,සාමාන්‍ය දැනුම
සම්මත චීන භාෂාව?,පටො,සොන්කා,ස්වාහිලි,මැන්ඩරින්,D,සාමාන්‍ය දැනුම
ආදිවාසි නායකයකු ජනාධිපති වූ රට?,චිලි,පේරු,පැරගුවේ,බොලිවියාව,D,සාමාන්‍ය දැනුම
කියුබානු විප්ලවය සිදුවූ වර්ෂය?,1789,1917,1949,1959,D,සාමාන්‍ය දැනුම
ලෝකයේ සාගර විශාලත්වය අනුව අනුපිළිවෙළ?,"පැසිපික්, අත්ලන්තික්, ඉන්දියන්, ආක්ටික්","අත්ලන්තික්, පැසිපික්, ඉන්දියන්, ආක්ටික්","ඉන්දියන්, පැසිපික්, අත්ලන්තික්, ආක්ටික්","ආක්ටික්, පැසිපික්, අත්ලන්තික්, ඉන්දියන්",A,සාමාන්‍ය දැනුම
BIMSTEC රටවල් අයත් පේළිය?,"නේපාලය, ඉන්දියාව, භූතානය, ශ්‍රී ලංකාව, බංග්ලාදේශය, සිංගප්පූරුව, මලයාසියාව","නේපාලය, ඉන්දියාව, භූතානය, ශ්‍රී ලංකාව, බංග්ලාදේශය, මියන්මාර්, කාම්බෝජය","නේපාලය, ඉන්දියාව, භූතානය, ශ්‍රී ලංකාව, බංග්ලාදේශය, සිංගප්පූරුව, පිලිපීනය","නේපාලය, ඉන්දියාව, භූතානය, ශ්‍රී ලංකාව, බංග්ලාදේශය, මියන්මාර්, තායිලන්තය",D,සාමාන්‍ය දැනුම
සාවද්‍ය ප්‍රකාශය?,බිලියන 1.4ක් දිනකට ඩොලර් 1.25කට අඩු ආදායම්,බිලියනයක් කුසගින්නේ නිදාගනී,දේශගුණික වෙනස්වීම් විශේෂ විනාශ කරයි,2015 වන විට ජනගහනය බිලියන 8ක් වේ,D,සාමාන්‍ය දැනුම
මුහුදු මට්ටමෙන් උසින්ම පිහිටි නුවර?,තිම්පු,-,කත්මණ්ඩු,සිම්ලා,A,සාමාන්‍ය දැනුම
ශිෂ්ටාචාර ඝට්ටනය (Clash of Civilizations) ඇත්තේ?,ඇමරිකානු හා ඉස්ලාමීය,ඇමරිකානු හා චීන,යුරෝපීය හා ඉන්දියානු,යුරෝපීය හා අප්‍රිකානු,A,සාමාන්‍ය දැනුම
නොබැඳි ව්‍යාපාරය පිළිබඳ සාවද්‍ය ප්‍රකාශය?,1961 බෙල්ග්‍රේඩ් සමුළුව,සාමාජික 120ක් වේ,මැදි පිළිවෙතක් අනුගමනය කිරීම,එක්සත් ජාතීන්ගේ ප්‍රතිපත්තිවලට සහයෝගය,B,සාමාන්‍ය දැනුම
අකිරා කුරොසාවා?,ඉතිහාසඥයෙකි,සමාජ විද්‍යාඥයෙකි,චිත්‍රපට නිෂ්පාදකයෙකි,සමාජ සේවකයෙකි,C,සාමාන්‍ය දැනුම
ස්වේච්ඡාවෙන් ජීවිතය කෙළවර කර ගැනීම නීතිගත රට?,බෙල්ජියම,නෝවේ,ඩෙන්මාර්කය,ස්වීඩනය,A,සාමාන්‍ය දැනුම
ළමා අයිතිවාසිකම් ප්‍රඥප්තිය අනුමත වර්ෂය?,1959,1969,1989,1999,C,සාමාන්‍ය දැනුම
2011 කාන්තාවන්ට ඡන්ද බලය දුන් රට?,සවුදි අරාබිය,ඉරානය,ඉරාකය,කටාර්,A,සාමාන්‍ය දැනුම
එක්සත් ජාතීන්ගේ 193 වැනි රට?,උතුරු සුඩානය,දකුණු සුඩානය,නැගෙනහිර ටිමෝරය,කිරිබති,B,සාමාන්‍ය දැනුම
මානව සංවර්ධන දර්ශකයේ සංරචකයක් නොවන්නේ?,ආයු අපේක්ෂණය,අධ්‍යාපනය,දළ ජාතික ආදායම,යහපාලනය,D,සාමාන්‍ය දැනුම
ජාත්‍යන්තර සාක්ෂරතා දිනය?,ජූනි 5,ජූලි 11,සැප්තැම්බර් 8,ඔක්තෝම්බර් 24,C,සාමාන්‍ය දැනුම
මතයක් ප්‍රකාශ වන වැකිය?,රාජ්‍ය සදාචාර විය යුතුයි,විද්‍යාව ජීවිත අරමුණු නොකියයි,ලෝකයේ එකම ස්ථිර දේ වෙනස්වීමයි,සංවර්ධනයට පෞද්ගලික අංශය අවශ්‍යයි,C,සාමාන්‍ය දැනුම
වර්තමාන මනුෂ්‍ය වර්ගයාගේ ප්‍රධාන ගැටලුව?,ප්‍රතිජනනය කළ නොහැකි සම්පත්,න්‍යෂ්ටික අවි නිෂ්පාදනය,කාර්මික කරණය නිසා ලෝකය උණුසුම් වීම,ගෝත්‍රික භාවයෙන් නොමිදීම,C,සාමාන්‍ය දැනුම
චීනයට අයත් නොවන නවෝත්පාදනය?,කඩදාසි,වෙඩි බෙහෙත්,මාලිමා යන්ත්‍රය,වෘද්ධි දර්ශකය,D,සාමාන්‍ය දැනුම
පෘථිවිය වටා චන්ද්‍රයා භ්‍රමණය වන දින ගණන?,26 1/2,27 1/2,28 1/2,29 1/2,B,සාමාන්‍ය දැනුම
ආහාරවලට එකතු කරන කහ පැහැති ඩයි වර්ගය?,සෝඩියම් නයිට්රයිට්,ටාට්‍රසීන්,ඔලෙස්ට්‍රා,සැකරින්,B,සාමාන්‍ය දැනුම
කිරිවල පිරිසිදු බව මනින මාපකය?,ලැක්ටොමීටරය,ඇමීටරය,සැකරොමීටරය,මැනෝමීටරය,A,සාමාන්‍ය දැනුම
1984 රෝම ඉලක්කමෙන්?,MCDIV,MDCIV,MCMLXXXIV,MMIV,C,සාමාන්‍ය දැනුම
